iqjmruvfue,qzdpwiltlx,qfyymmcckl,gbrnsouoqo,xijeugnvjb,zdyizsadyz,lvzbiwzlhg
waxmezxueo,-0.0625,cozqiqdlhh,dog,0.327,tqyciiajpq,DOG
-356,0.431,xnweaxiqoh,caT,avotsajadj,euyaaskzez,zhtxgcvmqo
-431,cAt,-0.093,0.0025,-0.2145,cat,hjfklbwifn
0.0595,cat,ewurxljblm,-0.4675,-169,0.465,867
-183,0.0445,-0.028,-0.234,-0.458,490,lijiewscfk
437,DoG,crtdghylrw,0.0765,wvltvbbjsd,127,-0.4675
0.4485,nejwthwnno,jsyyrskopq,0.494,vxlpgsvknc,blllideodh,doG
upfqruwkrc,436,-44,0.0845,vvokklcaco,vggkgljvry,629
563,-582,hbmjlqdxtt,532,dog,fknlrfyqfp,DOg
-261,buyqdswgfp,yglsljflbv,tsecxgsbvr,-215,vjatfxkwzn,980
679,atfvnmhzpg,0.41,hgppmdhwgx,0.155,-960,Cat
0.2775,807,0.451,-0.449,-466,hwpwkibzby,-20
tbbvfxqchg,268,-0.4105,-894,-0.2105,muroqmrrhz,cat
ijkuukmbjz,637,-0.1045,792,dog,-181,0.161
-0.497,-610,-27,0.2925,CaT,-208,-0.1745
-0.2155,-0.4065,-0.4335,bdzrerthou,541,CaT,osntqoeacy
ozjakzwyyi,0.115,-0.425,yuhsnrjgau,DOG,0.246,dOG
-767,-523,0.1575,caT,118,271,itbbrrempp
208,tswuopsyin,364,0.416,Dog,867,vsvfzfbulf
hpkffgescr,-592,omcsyjnatq,ytcgqfnocx,-814,-0.166,cAt
eeypeheock,809,uihgjnecvl,ralaywsial,dOG,964,-708
xkkplenpre,ovbjwikkeu,kbpqtapmwr,-353,psvkyjucwf,96,rdanudwugk
-0.469,CAt,hohaygwqrj,457,-334,213,DOg
-653,Dog,-0.4805,848,-0.0305,CAT,0.465
-0.4245,492,0.433,303,-0.282,nhwsdkfntb,cat
kxrusyjyyw,aggmajhxzy,Dog,diwlbwfvaq,-0.0055,ypjlicxjqt,-312
0.1405,iplfbzygtx,lsvjahcoxm,0.2525,DOg,-0.1415,-13
0.156,0.417,doG,-0.247,0.325,427,0.4485
vsgtvcdwsu,CAT,627,702,-123,jehvqtxurg,DOG
