bokrgyumfp,powzwenbpa,txahiighnj,kibsuvwhkl,yutzybyliy,yashrikbgh,ryxvayapga
dOG,973,tscpwszwfv,dog,-0.1585,doG,-742
0.1795,sxasssejue,cAT,-0.453,-0.4285,dOg,-732
0.0175,489,-0.349,0.1715,-234,jtjiusntrg,475
rtelmceokx,-0.4125,eltmqrfjzk,0.054,-0.121,dthgjczmsg,kisxrvrduk
-279,-0.268,CaT,207,DOG,mxuhpegjpx,783
0.132,lqazhzoxlg,-0.08,0.4825,-97,-0.379,-997
630,950,874,0.4045,dog,lsewjwpyzr,DOg
omfjhaomck,sicviafmbw,-165,dog,814,DoG,-561
wstinfgqfy,-15,umdbphcgpm,dOG,178,-181,-670
fsibnbzpmq,0.075,-512,gvdgkgengg,DOg,-0.469,stqntxyakl
-137,0.1875,-923,eaeinoerdr,0.4015,strfkcdnkb,caT
-946,-0.014,-915,-0.4225,687,-0.2475,494
Cat,doG,886,-396,wjftoklnub,-0.156,0.234
DoG,ynoehbsand,gmbamiuunf,mirlppsxsz,-270,-950,0.1355
dOg,cat,jaclkkrspz,865,0.402,lrkuilgdmj,-250
zcdyecyesp,CAt,982,-614,-0.297,-0.066,qsevayvenh
spslkkaoyy,yccjyafosp,-0.014,-8,214,0.4915,ddejymzudn
0.2095,ktuvhivcpo,0.2455,0.3495,494,0.095,dog
-908,dOG,263,0.349,0.35,wrklhrzfzz,ykqviasvjr
-830,cAT,-0.0735,-0.0265,0.082,cAT,0.0145
-0.147,vxqtxexoux,-828,uxkjabcqgn,dog,cAT,0.2845
cAt,dog,65,533,DoG,-0.2385,CAt
0.1355,CaT,wcojttlgpm,875,0.4915,yabzgfoeto,-846
-0.4595,516,0.0355,723,oaacixbzdr,doG,0.336
-0.3645,ajiigatgjg,0.391,-172,-215,lqdqzeapit,0.2935
tsazfiroiy,-822,-949,fehxgdhcpj,Dog,0.448,64
-14,0.4815,871,pcihxtpzwy,Dog,ekvsetfonm,-193
Dog,caT,0.2465,qdcdlrpmyo,0.3765,DOg,lvxjdlvimy
0.229,-0.1295,-0.4905,-37,468,647,0.4065
-421,73,0.24,DOg,kjzgikhslx,-742,-0.4045
0.1705,doG,0.216,921,476,-711,CAt
wlgtxjimco,-0.4605,DoG,-95,rjvgqpcfhk,-868,-0.118
403,149,tdljcrunis,78,dfhofygygi,-0.4625,0.0605
0.454,837,CAT,0.24,0.315,kkrvwvibbe,cAT
ezmickdemu,vfaqrkjfoe,DOg,Cat,0.0405,-0.1855,aeswodrqon
-0.348,CAt,-0.3785,rbbnaziqrl,-0.1535,-38,xqyrrkontz
0.1395,DoG,0.434,caT,-305,Dog,-0.3545
bvyytdlqwz,-472,sxlajqdgol,90,0.1815,yiligrtcvi,-0.027
-0.0445,0.33,0.3535,vllaajdmnk,295,-488,caT
-929,-0.4095,-0.3825,0.4325,0.407,CAt,-0.4395
479,tnewmznjjp,-267,rehmofjdyv,-0.379,mdlttxhmkv,instirkilq
DOG,678,441,evsaitkrkm,0.3315,hperkizhot,iwxmnzfhim
0.1575,ujgepkuknu,-0.375,-738,dog,CAt,0.4905
-402,-0.474,0.472,dOG,-189,0.039,gvdzpwoguz
-0.262,jjqiompekl,zlxkvvwebo,920,-0.352,991,906
0.4665,0.087,-370,-0.384,-0.3685,cdxuktwrpe,452
994,-0.1085,CAT,0.2055,0.458,DOG,-418
ohwnorepkh,-0.436,-0.3855,-0.433,Dog,1,ocqraxaasi
DOG,noztdparxu,cammqghjkf,cat,sswngkuxyv,0.0855,elgmjwxraw
Dog,cat,503,sssirawylb,whonyqjcne,cAt,-759
cat,qadghsxivx,882,-46,-0.407,-824,226
-538,39,0.4315,-0.0655,DoG,0.3805,cehkhttubb
ifofgzauuu,DOG,mrotnwcica,0.106,-0.2615,okexrsjkxd,499
-0.4265,-0.252,26,rhoiszwurh,0.321,sftqxwzarn,-901
rkbesrdqdz,eqaedzsmup,misvxhrvcm,pmtpvvmflp,jpciyfapyd,795,301
-0.1925,0.164,CaT,twstrmhlpg,DoG,-992,-239
-0.256,889,495,caT,-0.4585,0.2525,945
dog,-97,0.164,729,-0.249,-0.138,cat
xpzozqcbdm,-0.077,imdtbubfaw,ycvkiwsokp,doG,qorwryekku,809
-0.296,vtbdugdard,123,Cat,qvhdmcenwz,xvhlkbyucf,0.318
-942,ilxebnpvws,-380,srdbibrnaf,CAt,880,-0.3675
jnanmqwbra,284,-0.164,166,0.055,-489,227
sydxtjxsjp,ehgsavvexg,wyljgwxbif,CAT,ehwbhibjuk,0.239,0.2825
CAt,-938,710,0.219,rbfcuitror,DOG,Dog
zjydbskbkm,734,0.002,0.234,247,0.4685,DoG
-0.4345,0.453,-0.377,hpgfekfdrg,-0.181,iqjjxnerit,DOG
200,0.344,uorsvsfrqn,0.4285,-43,kheienanjd,CAT
