bsmskorohq,syyfpgjkjy,iefjqtahbm,bnyshywnjz,ghadbvqdxv,veeqjzyqik,zxyyegaprn
-871,sdwepumanu,DOg,0.165,306,585,890
sgvxssfqxj,-886,-0.3735,0.3705,989,qeclcdmqai,508
oiiuiebihu,633,Cat,DoG,lnaptokkca,281,-59
908,-177,Cat,lzajxgctni,tcqznrefna,-0.3365,enwkitbjqq
0.1355,-599,csffrqodlt,dgkesgrnrs,0.4085,DoG,0.276
frywkyqape,-0.4565,cAt,xhahgvohmu,qqqqnbdcwg,dOg,bzvabqnxej
0.4315,shvrqyydgs,-540,-183,0.3495,-589,164
DOg,CAt,raefesohup,-930,-0.497,-0.2245,smtswpfkgm
938,-0.4915,yeeiybmokm,CAt,723,teznufmtmm,-0.2045
82,-0.0315,jcdbbffojn,723,DOg,-858,vbpnrhzlqc
-729,-754,-816,ubloyjjbha,-0.0485,-615,-0.137
CaT,dOg,-884,wdcykslhud,194,908,0.445
-29,slozyypjil,ievsmhdpmk,tfrrcsrrzv,epkffwomxp,-303,xitqhihxof
-864,-0.471,-0.4215,cqcoyvianc,rezbeowbgb,azimxixjpi,-313
jwvzfxxeln,-0.361,ctqxwfjmho,0.4615,idgbmieldo,-654,otrfqspudq
cAt,dog,-0.3495,-0.477,171,-0.481,0.376
DOg,-0.1835,cat,-799,edazgiycsh,caT,DOG
-23,yysosjskul,bwisxxgtgm,znkwzvukkz,dpunxirmcf,qrhfadqgcd,-701
-335,961,xyyadmsnef,0.119,qztohezpgs,156,0.3485
294,kdptinolpx,doG,-950,-290,kctqrvfsau,ykypjgsliv
hfalhuhste,CAt,-0.4155,1,0.295,DOG,-0.4615
-973,CAt,mbtkbodrvn,-803,0.368,-598,ywrmviieuo
CaT,-0.207,-784,ujotckaoyr,0.301,cfdxtacnzh,CAT
erczjhzxim,-66,855,793,805,hjzruokicp,-434
-0.385,pmllwapmat,tumvhktdma,bswpjqmmel,Dog,scoduepgfq,DOG
hpaoopscmx,569,708,0.325,CAT,-0.0395,-0.3145
-0.163,701,dbsawdrhgf,bsyqyvugfd,530,pzvkqtuaix,yfmtgfjmkj
whrlpwbxrt,961,gqafttwzsg,0.298,-521,-0.0335,399
-0.3395,acsxotwbsn,0.0405,dog,-0.2725,-0.071,vyjdtftgji
0.483,0.4555,-641,-906,Dog,0.14,-0.4765
wgpezjmjhr,omusgekgey,CaT,caT,0.1275,970,905
Dog,zhvwcafktz,0.4515,-320,271,lbxbrvyros,-0.1745
0.069,Cat,-0.3315,369,-147,qxusviustl,glhvpnevmp
-417,Dog,804,cAT,atfcfjktjz,-900,uecwnnflqj
luavurymrp,DOg,vsidzhiepm,-0.067,CAT,mqdovcnhvf,-0.2
777,-482,0.2105,-0.2345,-0.497,fwwdnzqqzd,-0.449
330,-0.3365,-289,meeouvylpj,-615,-0.0515,qodkearrqu
-0.2015,-934,0.0415,817,dog,0.4855,fkdqqcvhxd
DoG,-0.432,0.3835,360,czrzqivquq,0.485,113
122,-0.3245,jvinfvvdwb,caT,DOg,-0.087,-0.224
dzatgnfmfj,-0.408,0.28,fbxbowszvh,-592,424,kdlzzxscvb
0.332,CAT,-127,232,0.258,-357,dog
0.2935,738,-0.4465,-170,bqqldjxjjl,-721,beekjhbwll
-349,-0.0605,rvznpihhzz,mjuaulfocx,-745,-190,-860
-165,0.3855,afylgjuung,flrqgqvgdp,-0.1915,omrfhjnbjx,dOg
DOG,dOG,0.0545,928,105,vcmxkdajoh,-697
-81,765,-386,-0.3875,Dog,-820,-0.127
-0.0485,484,0.3535,cmoirjykni,DoG,0.0095,lamiintoih
-0.285,ehlzkqtuzj,0.3825,0.237,-0.087,0.453,0.368
515,ixmxgqbqdz,-589,dOg,hpfbeuqjrw,0.355,-0.442
odrqyqdcrp,-0.2495,-700,yuvpijflcu,934,-0.483,0.3995
qddqeowysm,-563,-852,618,546,795,loaqpyaxrp
0.4905,aodyttvhvw,814,0.4415,chhmubyhdr,694,0.1965
-384,-61,fgywlweled,eakdlxyeda,dkzrgiokmm,0.472,iafvgwxpyt
