kuihvveofx,cmfifjrjjo,pscyxndavz,gpbjlywoum,dfysgalftl,egacodsugv
shphebhnql,hzzuthivzt,javmgbgrns,-880,-0.3875,eebmepbhrw
-0.2295,squapbudbz,588,706,yowqpmhahz,966
928,388,dOg,cat,0.351,-183
443,-0.009,Cat,dOg,CAt,-289
106,DOg,-0.045,0.3195,doG,etdbiewyvt
spancwngmc,ockhxzhdwx,doG,55,Dog,-0.0125
tbvzprekpz,atyjheymxw,0.139,805,osnubiqiqo,0.047
-887,693,dOG,ctletevtoa,-0.251,803
dkcmumoiix,243,592,-303,-840,-509
nkakaeekla,817,gomxuywkuq,207,783,dsajbtgtbz
ljksrzugws,Dog,199,Dog,-0.358,-0.45
asvxluacmm,rwwxogufxq,204,-0.2315,dOG,966
541,mvkezebvfp,CAT,-0.4125,DOG,odbexsjavv
-235,0.053,-405,zszdfwiniy,-964,evkmszedev
0.128,-0.04,gyakrbledn,-0.415,vbmxocwiwy,0.416
-550,-401,-671,CAT,-196,DoG
0.2285,asnczjcdsk,0.405,0.225,-216,-290
-0.2045,xxlaxgxdyx,ktpebnpdfo,Dog,dOG,-0.095
138,aewdfxfbbb,0.3155,-853,sojzmnkspw,-0.0735
734,0.3585,-0.055,-413,-0.3425,-557
-885,0.2425,-0.3455,gmxbqjlmxl,rddxyqhspl,174
Cat,0.4115,wmfbvjdbvg,zbzrozxvpw,CaT,pwhqqcddra
-0.1185,rpldgjgbaf,-0.4375,-0.2335,oujzjgsutq,-403
548,tjbpglhrff,285,gvztqnhmto,-776,yotukdyclq
CaT,881,-0.0645,sreaykjslh,865,dOg
pxwhncmqsl,838,zyeisheaei,9,0.358,-0.3825
dog,npgyhwrsvi,gtbmgabpgb,-132,0.302,dog
773,dkchzedrgx,dueudteltf,-505,-0.1445,skgvivhfwp
iesrrqlcbe,359,dOG,-24,0.071,pgfsfrsklk
xlkqzcqnxy,zpygutvpyl,-376,-0.063,0.2115,-371
caT,-0.025,-202,jniadhsuqb,-929,0.2285
0.3705,dog,471,DOG,474,0.134
ccpfaepsgr,mydtcfcjib,doG,evlazxcmxc,-612,-203
lrwsflytee,jxpjrnwkqk,0.133,-0.378,481,766
619,dOG,CaT,ippycjbvet,0.2635,cAt
-992,913,doG,inhbjautnf,-0.051,wblffncvco
Cat,wpdakrykek,cAT,-105,221,-387
fqtqvaerix,0.4255,geapdxlpot,noeaqvcvcx,kjmrunhdwt,0.4475
dOG,doG,rzyzhgplvf,hbfqpetvbl,0.1765,dOG
udqtmgzdva,636,-0.273,-0.2115,-403,0.0855
ogmgqghwpg,863,DoG,Dog,-0.049,-0.332
0.1,573,uuljghysok,cAt,-471,CaT
dOG,0.491,jkspvabgyi,CAt,231,-0.049
dog,484,-0.0645,dog,-411,-738
