owgntxgcxl,PEt,txaxmbvrlz,ydlxmrfabl,litolopoog,mzfewbrnko,ayctnebfwa
nydlwsdeyk,dOg,0.2065,dfgjgxraug,750,145,-0.152
yqxfkdhewz,CAT,vscelpwypk,923,nljkzjlzpm,Dog,ttepmsfsmo
caT,-342,-307,278,-0.137,-166,DOG
Dog,dOG,-988,-631,cAt,doG,gljzhlhkyq
-0.2895,-0.073,0.019,167,0.0755,DOg,CAT
-580,DOG,ecrkoktiks,dOG,145,pgphewlwxz,uzuybimvrh
fgcubfcbuu,CaT,torswmecqo,42,afeksealnm,15,449
0.4635,dOg,-884,0.293,-19,0.429,sqaayxozhu
cAT,baywryoaec,cat,dexxgjtfmc,Cat,-0.1825,696
410,CaT,-0.266,0.1305,-373,-497,qixhogfdkt
576,cat,0.1895,-0.2915,-0.143,qpttnshrqz,DOG
-0.161,fxfuwajiad,0.264,0.4785,sswrddvzyk,cAt,lopeeskcnm
oishmpagvg,CAt,-405,cAT,amnuntzfil,660,cAT
0.067,744,0.135,-426,Dog,cAT,hrcwfauqft
dOg,cat,dpvtltynxe,vxckeijiiw,DOg,914,475
704,caT,22,geufoabrou,0.3965,0.095,-0.043
-539,DoG,xlebftjvac,woteqzzwpf,pklghrkfyu,189,713
nkakrwnyxk,dog,dzjyipbyxt,-0.189,qzknjceurp,cat,-0.419
-0.057,Cat,xmwadbvltd,-295,dOg,wflyipvaew,vtjsoxwsjl
-500,dOg,htdglxhgto,0.1425,-252,-388,mpzlipiuxv
0.1405,CAt,twvnrsfdhu,-75,20,CAt,vzpmuaewpc
mloxgfntea,169,ifglwsagwn,158,440,356,Dog
CAT,qpypzwndpg,-0.04,dpcusnzpgl,382,-730,862
rhbaayfgbg,cat,-0.1145,896,-0.2,0.001,-0.012
-429,cAT,0.01,DOG,doG,203,dnrsfdiaii
DoG,dOg,-251,-0.2275,0.278,-215,kaypzyfgyi
dog,cat,mlqxaeqnwk,-540,guoeishiim,-0.2355,oektrvsyvh
10,cAt,whtztchiyj,gtqykfhwsc,xtejghoqzb,zvhvxbnbmb,-0.4265
0.469,Cat,meqxccwfdb,CAT,Dog,pncfqhjwdk,dog
zaqxlcxwub,CAT,-738,jtoftmkzgv,0.232,ccwsmplyks,kjownllmlw
ajamvsmrpd,0.018,hlofwhiuxk,0.262,lgyzgtbwoq,-761,fxjlhkrcuh
737,cAT,Cat,hyuobveqpf,qfulihtrlg,-0.153,uaqvjrokyj
dOG,CAt,erabwobxya,gyirutzmtx,-0.158,CaT,dOg
0.323,dOg,jyrsvphqfy,Cat,0.3355,-0.4715,twyrpurvtx
-0.395,529,-0.404,-551,0.096,-428,DOG
uqsgwwpnht,cat,-0.3455,dOg,fcihymribo,-0.2885,DOg
Dog,CAt,ofkxznqkpu,-568,-89,Dog,997
313,DOg,-0.24,cAT,doG,0.0785,-28
ilmbljceak,-470,0.3245,akzzfjmflh,-0.2285,ytqiivuohs,0.291
-728,dOg,-0.3025,vqhjrofmll,928,0.4725,DOg
895,DOG,0.3625,-0.211,-598,DOG,ofslnlukby
284,dog,870,0.1465,dtffuqwnoz,ritziyaobi,0.1485
tjrvacaaks,jevrwkzoim,-445,-0.212,-449,313,fqgywjwhdy
hxyhyeibyk,Cat,mrkrdetkog,sncqmanpwi,272,zhacffjhkq,yezmoaaqwg
816,Dog,0.356,-0.2675,dkpjaabcfz,-954,-0.4745
0.0615,dOG,cAt,vokoljsbik,dog,emxnnyewef,335
Dog,886,0.326,-862,-913,-576,dog
fezbdeehkj,DoG,-0.445,vnlrzawlxw,561,cAT,222
-0.043,DOG,-0.4185,-0.0945,nslsrcqcuu,sdngzrxbed,dOG
jefjzzjaiu,cAT,cat,-0.188,566,CAT,uzoownrqzo
152,Cat,209,0.4205,gzmhxvbtdk,-0.4235,-121
-0.4875,cat,268,pzpefwsunq,-0.498,ayvvabpcoe,gdiywxgpya
608,DOg,0.0735,dOg,bgkeqbqldk,yqvmmjsoxs,-242
ezdkbgftvn,0.24,dOg,hqcpdhjxfo,0.214,yguahqhirn,-0.2945
qwalhvwgea,CAt,475,kxqjdhfdtb,-243,-0.4215,rphfrfnbwu
0.0845,CAT,0.1305,DOG,llgydgbytq,vqdkfzvzlk,-80
