eokatrodlt,jqzpoibgqt,xfxtdaihig,acvlxurpxz,ekhoplrswd,igdepfgzvj,vzujlraknj
-139,cAT,-0.492,0.486,0.4745,kgcujnxxyr,-0.413
dOg,736,-659,0.4225,455,vrwqwuetfw,xeenrqluqm
ekncotnwoe,-0.4685,Cat,-966,uiggcfcyug,-700,581
-767,dOG,hsvzujfbwt,-0.316,dltygsxheb,-12,0.1415
210,98,Dog,trbmuvjsoz,0.1955,599,-133
hdatfjyrva,dog,-0.065,thpmngtelo,tqijzlkoue,Cat,DoG
-0.2625,-0.2635,caT,-563,-730,DOG,-724
232,Dog,hvqrhsxgbv,brfiuxzexl,0.015,zvytgvqqxz,-0.0155
-0.1685,0.1135,bkddbvgvtx,cat,384,jgtksiteda,824
-154,0.075,0.143,-127,-0.369,0.166,dog
ftetbeaadu,caT,cbcozhznky,-203,jteihnjjxo,jcisoyzqor,-0.404
-0.457,0.082,baotngllkf,0.439,jsoosjmwrn,0.161,267
0.318,-0.073,DoG,0.119,0.17,zrtumipvse,zuwrcurwpc
135,DOg,uftpdxbulq,266,0.3795,nkqsnehsml,doG
0.3615,503,doG,qjupijvdxf,vxdqtiryye,besleymaba,0.3425
cAT,cAt,179,0.22,674,-0.3465,-962
-0.4315,llkyakpimr,0.349,0.076,516,0.091,whewbhkyef
lznymiobse,CaT,-0.1105,556,392,437,dog
-473,-409,0.0745,640,dOG,rrhcqqorrf,0.0655
-0.286,0.194,0.083,yxcywojruo,0.076,ilewqqgkju,189
802,-0.0965,0.399,0.2725,xqjujfvvwg,dOG,DoG
53,oltcmenzmv,0.3965,909,-0.053,zwxbvpyopo,ebdngoverj
safhwrsfhh,-456,683,-0.0665,uhlwprsdhy,-602,0.47
nkeeirkqyf,0.316,704,950,dog,tbovdhykoe,0.2025
-0.3175,-0.3895,rwlvosiviy,0.0375,-0.0755,-0.4705,-0.3035
0.2425,658,jlfkeixwbl,0.4735,0.1,yyxlnzntfz,0.133
-0.1295,0.105,-0.3885,ttsgzcunnv,-336,khtiutqqda,401
-0.336,0.197,-810,0.124,-524,kfauemilir,jajbviowvk
752,pflnejdion,-0.169,727,593,-0.1555,bccpfuhmga
813,0.0825,-0.108,-0.154,-701,iacgzwdbyy,-76
-524,0.3325,ctcilqaftj,-165,788,-421,Cat
641,0.08,ojupwbkztc,zhbhfgeith,zsdpbaluxr,-0.4125,-864
CAT,poylwqtvnk,-260,rimhjqgdea,dkltyuzyie,-30,-0.4625
0.0085,650,ltlxjopzda,dOg,DOG,DOg,-792
DOG,CAT,xmgnbhdcap,xfqvbqjlxn,0.1165,0.3055,958
caT,cbbotxmhqr,0.483,CAt,-864,kvelwwqfhr,572
DoG,vtuftpvwcx,Cat,dOG,fdqsdfpsis,qdniqnnxop,Dog
-0.316,-0.3205,iumcckjqqm,628,cAt,tvfgarcoek,722
-933,DOg,-427,-108,15,DoG,whvsukurwd
-269,fdsecaafxx,-0.3975,0.402,-0.1435,-0.391,-93
874,CAt,aattxkqpty,417,346,erbzinqunl,ucakbbkewf
-0.4635,-836,yqlusmbsso,-0.468,zynvhdhghx,-566,0.0015
doG,CAT,113,0.155,hdoophlmvk,dOg,-0.412
kxzydsnpnc,354,kzqeljzyky,-36,69,fbeydbsvxj,-0.143
-0.3535,dog,DOG,iluzrdtvxg,dOG,myzgyvbuwa,-519
zhziexwqwc,545,379,0.418,824,mbuflknsdt,Cat
wuzvtpmrho,kuoaufmtrk,vzlxsiqvyv,recjozxyfa,668,caT,tsbtqcaqpj
mhxwpvskso,zjorgntoaj,CaT,-0.316,620,235,0.0065
feruntmyoh,-412,wcnrxupdsm,pvuxdwipjd,-0.2645,pgaizzledk,-709
cat,333,uldwtllajk,-0.1165,453,cAT,-27
