uhperpmoqz,jehataolxf,hrdhtrqkqo,peT,ttxrsceizx,uygykatuxv
muxejdjvvo,252,-462,dOG,0.4355,cekmsnnqds
cat,CAT,-565,cAt,gtackpvjkg,-845
-48,401,919,-0.0975,366,CAT
0.0335,tjpqxhegxn,djsfqlklfa,sqbittczoi,-0.3505,cAT
yqkcrkxscv,sssopnwlpo,-0.373,CAT,lzfawjjlcz,Dog
603,eomfvvegjn,dOg,bpgwlogwgh,0.4335,ecviobsxdv
-0.282,cAT,caT,Dog,-900,-353
366,-538,287,-856,thjwwsohdu,DOG
0.49,pwsyalujwj,btunyqnrdp,CAT,877,-486
xjslhjdysb,vfpxtlowzm,ptithoxwkz,DOG,0.2615,-0.351
695,-0.3255,wfdzyskuft,hklywepnon,DOg,hfwssxsddf
-684,DOG,-764,DoG,0.3885,689
-0.1825,117,-0.4055,DoG,vflsqzcpsz,waqkgvpwwx
lnrpllwvmb,-0.2975,-0.3305,DoG,0.292,wknfheyenz
-0.02,oqpsoxlqzw,34,doG,abzobadeiz,wcwsauegam
tvuitsghvc,-0.471,cat,CAT,-79,-668
0.1025,DOG,0.419,DOg,dOg,mmcfudzcsw
0.089,edzkrejaya,316,cAT,-258,exwsecwuev
joxapqojdn,935,-169,CAt,zexbqfxfbg,cat
fxdqmqaquu,suxrcwwgqk,-911,343,tfmgveyivo,-0.007
0.2855,965,-383,caT,213,eiqpjorrui
575,0.3235,-0.3705,-931,stibyrwdzi,dOg
vkabtjjccg,kdxycjtusm,tmjwbmtxaz,-0.319,405,cAT
530,gyhluzmqap,vigepjfeis,CaT,0.097,710
dOG,zsqtedpjbw,mykjavtsxs,178,cAt,460
-148,vithaazbyd,627,Cat,cat,dOg
tobfjquotp,lxsrqsgsuy,-79,0.239,zgghfyaain,771
qkekkeolqu,canwsshivm,dyleksmczx,CaT,fccpyphgmi,-0.218
856,-0.2,-0.2475,-798,crsaiccgne,-0.063
0.361,cat,599,Cat,CAT,-135
-0.171,-862,mqxemxnkga,CAt,zlyffmhsyi,-0.0505
-0.054,-261,827,CAt,adzlxgtcjb,0.3965
-0.1455,qcmwyrzaag,Dog,-0.152,iihqsmccmr,9
-915,mbeauluvrj,-138,DOg,0.3105,Dog
-0.3935,948,-743,DOg,320,onfpoxxcab
xbazyogxrd,yxwcynejlx,-121,-0.1915,Cat,0.4235
CaT,caT,doG,dog,506,lclkwgzwwp
-0.3525,ktfxgshjlj,-192,cAt,CAt,-0.455
-0.2395,icctcllgal,0.196,-0.372,CaT,-0.1525
0.0655,-0.1265,271,622,sgkbzpxwgj,vpopqhvplv
-484,-0.258,858,dog,-0.391,-0.2685
0.36,979,0.317,452,-812,0.05
-0.3825,-177,mggoddjaty,56,561,zzjbxqqydq
CAT,0.2055,0.2365,doG,dOg,-963
tpxvypnawp,gsqimdpour,-0.474,0.4475,fhidqubtab,-0.444
acsvbiwdkt,pjuuxavbht,0.2425,Cat,zcepnhwxok,-241
-0.3485,kcdjcvzjiv,yxdoxlnwbc,cAT,-0.46,-859
wmxjjqxvxp,dOg,-904,cat,368,-0.4145
caT,CaT,wqmwdfgnvz,cAt,CAT,dOG
-0.339,cat,-767,cAT,fslrcglbfp,azklcfpprc
-395,0.281,-694,doG,Cat,-144
