psjsltvegt,iopfityrit,nqrhiotwos,trwutbqvho,benzdlpudp,aoszpfxcmg,ewsrpvugmo
iymzsxijbg,-13,199,doG,-0.3945,-561,-0.4145
0.1295,0.112,wgqjfejnky,0.407,yauvelgtum,0.099,390
-436,CAt,dolanlbbfm,-0.3885,-631,207,dog
0.0245,wgyndmgjzs,-87,-0.2265,656,0.2635,701
227,0.084,opqtzswvbd,gqmxoavqrl,-0.1155,-0.3855,548
936,dilnkhvzms,0.335,814,-0.1565,-398,ulfbsoxood
kgpprkjabg,-156,dOG,geivlyfkek,-967,-653,0.3565
486,0.3415,pfrufdjzus,CAt,CaT,283,nngpwrlsiw
337,rqmkgenveq,-0.4465,0.0125,CAt,0.4675,-327
zshfvcegkl,cAt,0.1745,0.002,0.257,136,254
xszagtkcdd,etzacaggxw,945,rnlodfvdnv,Cat,dOG,snwfxsunmn
doG,CAT,Dog,-693,mwmdthrfvs,-0.0525,-0.4725
-0.3475,-292,0.062,-0.4905,111,DoG,khfkcqlnfv
-0.07,-59,-927,-375,-980,Cat,meyfwgflio
DOg,-933,311,ewvrcmauno,ljcqfrnrth,0.028,cAt
-0.33,hjvohtsjdj,wcbkfxgfle,0.029,qstghwaobi,0.2815,-0.3215
Cat,-0.342,-0.2,0.1525,-0.425,-705,0.4775
-839,-825,Dog,-0.0945,mszohnrmyx,696,0.387
qgfeeadlox,-0.0435,cAT,qkvbedijsh,DOG,anthsddyoe,Dog
fgkjrrmdfy,qlmqfymvug,dyfqypeclf,DoG,-544,-481,dOG
