jpqjwkboxv,rcgjcqsucl,tpgenxrrtd,egxlmbcgcf,bezozsxces,PET
doG,-0.124,eoeqsnqvyo,latbfhdcfv,0.202,cAT
-578,CAT,ookrikrsaw,-0.285,ryrlqssira,dog
tbokffgafh,DOG,805,ovuflbmckq,236,slfyvalwms
-857,-705,mvaybgpthi,-0.229,-544,dOG
-197,-0.369,412,404,qjqcwipkzd,dOg
cat,-0.3525,125,0.3225,-194,CaT
zcckacdjtd,0.354,cAT,cat,-0.3675,DoG
0.363,530,547,dOg,412,raoxmovlyd
399,-898,CaT,jolrruroey,tajivvqtum,-879
qzcgajesmd,-0.045,doG,zfhgscyoyy,517,DOG
Cat,bsqyolddoi,cat,biuenekuit,0.323,cAt
0.278,-387,cjpasgrqtw,CAt,gtmnvtpxea,lmrfqtqyfi
dOG,epxijfpfqn,-0.136,zjaxnskdhr,oltdzreqfj,CAT
-660,doG,qnogxiuisb,DOg,cat,Dog
-0.0935,-716,DOg,-427,0.3785,0.277
pfywjdbjgs,caT,-611,CAt,cijwvhdtle,cAT
-0.4485,468,-0.3645,zblggngxxu,dOg,CAt
-0.2735,-0.4895,hmqhugxqhj,doG,-777,dOg
mfpycuczjr,rxffmaqdiz,-0.3905,895,-0.1665,CaT
-0.2225,boshtdefyv,-0.0625,-824,asrsvabjuv,doG
-793,266,ozqupcamjc,-0.255,CAT,CaT
-292,nzonxulgqk,DoG,-923,-0.1475,-27
gapvzdzpxo,0.3825,-649,-0.4585,-0.3795,caT
dOg,286,bdnfointlm,-0.115,-0.257,cAt
687,lcgdbafpro,cAt,wzeffodtmu,wndzodklve,dOg
qifinszhpe,chavvlzkmi,iauytvtvbo,dog,0.4595,-368
-0.2605,evpgojqavo,0.152,doG,0.442,CaT
0.2465,564,-0.394,-924,xxeawmnkto,CaT
CAt,-875,-0.432,doG,0.2295,dOG
-628,rpxihzqquo,dzpiqpzrvn,dOG,eudvufpynb,jevpmsfjrz
Cat,syhtkalukd,dgqoxsadpq,iqhfnusfyr,-0.133,doG
dog,397,jqgqhkksrd,-714,CAT,Dog
-0.5,xwtxzgjfsl,Dog,dOg,-70,CaT
azbptazkbm,-0.3205,cvqqzelvot,0.11,-0.09,Cat
-0.304,-0.487,uzhmqwytvl,-782,xukqojtnmg,-786
CAT,-0.471,-491,-812,-0.1755,Cat
0.477,pcopcoiblt,404,94,-0.442,cat
Dog,snzzsquiib,wvcfdflvcp,-0.3485,kqzpngxvwy,DoG
-0.1875,nbthkbopwn,-839,-0.3755,uphfnzmdha,Dog
wrzxxzvwon,-202,doG,-0.12,345,caT
DOg,eogprjxsxs,CaT,DOG,kecnnvjxee,0.2845
