sltbqdpbwa,ikplghlppv,nsjpleluku,djerqglwts,zvztruirtp,qemsgxoeym,bchobmctzc
DoG,CaT,162,-0.417,vfzverewop,yqbikwffaf,0.1255
-974,270,0.355,DOg,fwofsgctnl,-500,-0.0905
0.493,fvtprjaucg,ibqjdcfhmm,zlmuldnyap,-989,0.06,-0.123
-0.219,cAT,iiksoilkuv,0.341,0.077,ntiugzrphq,0.4545
43,425,0.208,CaT,CaT,-0.079,0.444
0.362,-0.053,71,doG,dOg,0.2975,CAT
0.177,-582,CaT,-93,DOg,188,ohnfmuoshp
503,-790,cAt,-68,514,DoG,ffnzlrkrbp
udxfsjbltu,-0.1755,-0.489,0.446,caT,0.0165,-0.3195
ochtpqzgal,-0.044,-70,-0.3465,xeiswqllcm,-0.458,0.41
503,farwohfwqu,0.0225,-0.2665,301,161,0.256
-0.402,dOg,557,-0.2405,dxkjdhrnyx,444,0.1695
CAt,kiuohjsevp,ueqxliegne,DOg,828,bcazssevrr,rerksnqpwz
ygwvxdgarc,-0.232,-0.285,-0.2415,282,Cat,-0.4655
vxxcfmxygn,462,-0.3265,Cat,qnwkcmicei,-0.013,zkkoloiass
zkzhdmidvj,htxtpinwrw,-262,-287,-0.3015,cAT,xaidbjakxd
CaT,mpdhejdqxo,nxcgjyeddu,uykqzloeny,77,436,cAt
-0.0315,0.355,xoyjkfqvjp,0.0095,0.0445,-82,yjytgducwe
jnyqhiuufa,bilgqvamhx,0.492,0.0785,zywxxpciix,-177,rvusygsgxn
504,-526,cbwkcpuuqe,-592,-636,709,499
-934,CAT,DoG,998,Cat,-0.096,dzwbiwfyin
vhyzqwtgfg,vpxrozbyyi,0.348,-448,dog,atvulpzgoi,0.071
893,CAt,cat,-880,-0.004,cAT,-615
828,-0.0235,DOG,0.3295,-715,DoG,-936
0.426,mzwvdhrkkw,-0.4135,Cat,0,321,DOg
bethbujxrp,389,0.2305,-0.1615,-145,DOg,-0.294
qtjlkwdtll,561,zbqghcksme,0.097,-629,dOg,0.4905
0.2265,0.1915,CAT,-0.2355,-0.4635,0.3065,-917
-0.377,-0.15,812,cat,-455,-0.216,axfwgniqjr
yhtthjfgqm,sgwyluuyex,CAt,-0.4735,CaT,939,cAt
-392,0.399,128,727,-97,0.2965,0.26
0.4845,-129,-347,415,Cat,949,zvktizruke
smxhhxsngt,0.0115,-98,-0.259,mxwknsyzkd,512,-144
yjgenvjide,399,692,CAT,dOG,xvvdtzylzg,pahubsoblm
uyzlzkzicu,-0.277,CAT,0.0815,wrzoxbjnct,CAt,730
0.008,0.0935,lghpkquubc,575,-533,dtrfjxwdor,sottocoivw
