qfnusyjlyw,sxjbspwxjt,kiwheqhjhl,pncdekmwla,PEt,aahqbjtabl
dumunfbzfb,-643,dOg,117,dog,yqtaxegkux
adpnoqagjm,xrppqdywmm,-0.127,tdwbcpubia,dOG,0.015
0.192,134,gxufojwywa,CAT,-75,seylnrxemx
-0.369,-0.2165,-0.137,cAt,DOG,CAT
pcrxlknsjs,983,-0.1915,gdbvcxegzt,-0.412,-0.116
576,eigkaivfqr,622,-188,Cat,346
czavzvwclb,903,-831,0.0995,DOG,rqdwijksdv
614,-0.1195,-357,CAT,0,tbylshvpdm
-0.0615,299,itjpoxlfmj,jtjxuhgklk,dOG,oswylnihaj
tnpstsevua,546,doG,CAT,Cat,nnqbkmhfbb
-291,-0.036,DOg,doG,Dog,0.0955
-507,Cat,-0.2015,-70,cat,cAt
0.2215,157,wkucbcnchi,-268,mkvuvrpszn,hazzfnydto
859,-0.461,Cat,0.013,ykuffrzkyb,fzgejqshuj
676,-986,lyegxzwfhb,-435,DoG,0.3755
-0.1285,cat,dog,-628,DOg,459
395,vlhzwqacxs,0.4535,qmtwoejhzx,CaT,CAT
tvdvwvdtci,-0.2685,Dog,-420,CaT,-0.375
0.1105,-992,kjgbfsiiwd,CAt,dog,-0.4625
fubwlhhghm,0.1035,420,0.4145,yncugydqju,dOg
flixwqynyc,bmrrgyjsgz,-257,CAt,CAt,CaT
0.1675,783,cykotchyqz,0.1265,Cat,1000
-828,-0.328,dOG,0.412,DoG,ipmawcfuun
fgzruprwah,0.213,-12,-243,242,tifffjbaip
dOG,vhcesxeyev,bygfancwlm,ytsyubshal,cAT,zhtmgxngdo
dOG,odryzxvjgy,dOG,rbbpnsgpll,-595,kkpkwjpvmg
kjrpofxjkr,xftpyglslf,208,jmsmhjiehv,prdjjgojdf,caT
ehgbkuqivn,tqbfywprcf,azfiyddfmz,84,cAT,-633
895,lrswofleeo,slsbxwmabh,0.2675,dog,pcnuyukpkg
-0.416,-0.199,-186,yioembuwtm,CaT,0.045
byyidiygao,-46,0.3095,cAT,Cat,821
-0.2865,-513,wnghexvmzp,556,cAT,povacfneif
vawaypdrho,249,-679,578,DOg,dog
-0.1535,-0.277,361,-0.429,dog,0.2115
-752,-756,Cat,-368,cat,653
Cat,jboyqbgwxx,DoG,0.0815,DoG,picrnvucrg
wahwoudsum,ybznvhfxzw,-737,-422,CaT,-37
jscmdnqdrl,qrstsqfzoq,driwzfyypi,0.4895,cAT,0.1355
-0.004,195,esigbqyriz,0.296,0.322,boswfgchlw
654,-895,mdpcyeiycb,0.058,cAt,caT
-432,-416,nfcclxvojj,doG,dog,cat
gqcuxnhmhq,vfmsqbawrv,-817,dOG,DoG,0.1615
dOg,0.4725,-0.2625,xxhblouheg,cat,-0.0395
-0.11,-894,-35,-456,xhmybqnzmd,534
-0.2325,-94,-0.0445,DOg,dOG,CaT
ecnqwjfqrx,wtesqerppy,-0.486,-419,CAT,ppzrjwjiot
eopascormb,-726,CAt,dOG,cAt,cat
zlgmehskmh,bmokonjclc,DOG,-0.382,Dog,262
ytjyhtfkon,gbrlsaosjl,-0.309,34,CaT,dOG
0.173,266,799,imjvoebghk,CaT,hrwjddsamq
