ydhafgvsdl,urotgqibet,mjszjpkuvj,nkfctvnsch,uynjekivkk,vrttahbwaw,zjxafrpggt
-0.0065,bpauvmhvre,kaozypafnp,lwcsrzxurn,Dog,nzimhlrzbe,zckrmiosnq
0.0805,hsnvujrcez,-565,0.4765,sogobpfuig,avglvvdqhb,DOG
0.0845,524,-0.2645,caT,dOg,0.307,0.214
dOG,-992,dhamimfxqt,tkqhofjsvw,835,-755,-658
-0.3325,453,CAT,-0.013,-558,0.321,0.1605
0.059,-375,0.0515,382,CAt,875,caT
Dog,-206,cAt,271,kirshrymim,cat,-0.18
kvkndwuliv,-0.151,squsqgjqgk,-0.4055,umaodgilrb,0.072,Cat
0.1195,iroxyufixf,eunhimwbdf,-0.0395,svnchcmclt,0.0455,-287
CAT,rfeusedzsn,-0.3175,wixeukfggp,0.379,106,164
0.3275,Cat,lalehgyffl,boqkjqqpgj,320,ovyntxlirp,773
0.352,dOg,dOG,0.2065,-0.455,yzupsejktc,dOG
0.271,uqizrwsnbv,-162,ctbeflrhwa,-0.358,-0.1765,DoG
DoG,xaiqcckvdb,0.317,448,udkroviool,cat,CaT
mbmymxnjfw,uutkudqrqy,alwggblttz,-0.0705,jmmbwagrab,0.0165,cAT
-913,-154,596,bkkboukhle,308,0.1005,wcilafmbwa
-0.1035,wjmzsoelbn,foiyeyagth,141,sumplpmudy,0.188,-0.0855
kgfkxqsrbd,wwjrhsqgce,wwcoyeswuv,xwlxvwzxen,DOG,qqoillqkyb,dOG
-0.4555,598,vziudjmmoj,0.24,-0.1605,vdzinbkkwz,cAt
-238,pebeigueio,qwirucgass,dog,0.0045,-0.1625,45
-675,0.26,cAt,-0.183,quxynysjuv,xvzcbjfyiu,hefrukidvv
DOg,-307,0.133,-84,rzavgjhpxi,eaivnfdkvw,zhsxxokcoa
CAt,zqbwnljlmc,-127,esunqzcyei,nwktltoozs,0.348,doG
906,-505,dhijuhorfn,uwezputmmi,murtshacde,fghmynxvvk,sybjuowzjq
-0.1295,cglzidibnu,cat,-154,iaugjizasv,dlfhhovgqg,490
ucmhlffoui,cAT,786,bqcetpgjkt,-0.166,nhjwcglqyx,477
-0.128,doG,mxswiilghi,-0.362,-0.329,erlvqhdfwb,cat
CaT,ctclchmbce,-0.1085,-993,DOg,-0.2605,-638
ftesdtcxag,dog,zlmefutfwk,dog,888,ptarjhcpkd,-272
0.236,vilfzvfcoc,0.153,DOG,DoG,-504,-185
qlpaezsidu,vpgvoadscb,gudtzgbhxw,-425,0.0245,0.347,160
215,iknvkvazxo,cat,521,0.3985,680,tckgipjyvc
bcfosyyfcm,doG,xnzlgrgyyz,cxmozyvajm,0.1515,doG,664
