grfxswcjzg,czaghfxkop,zurnoyacty,zagqmzfuba,fiyqpeqbzd,hkfxeetumw,fltkldwkrj
ktpnaysxsq,738,-473,wcrjzzyazh,419,0.1495,-977
0.2485,xhbsvhepad,-0.008,3,-0.239,gdvwazuizr,eocwnpiqkk
-842,CAt,cat,0.035,ptfaqumdjl,163,306
vgylyahvmj,CAt,-531,wwqhoouvlr,lyjqdfavnh,-442,766
ikxwimjxod,jwasnxbznv,-91,mcowqcosoz,14,-0.2445,852
226,slrmicjyju,-574,0.013,-0.322,721,-167
tnutzlokev,izbhplkllr,-0.194,xylfxszbgu,Cat,dOG,0.331
cAt,0.4705,-896,0.001,-0.347,0.1565,wajzxmtdio
0.2605,snxeydeafk,-0.088,-983,CaT,0.2545,929
DOg,-0.2565,xtdtyfjdgu,cAt,dninkfzscs,-665,buxlddwuio
-0.11,sjhwxuuuae,klcxarxoqt,dog,DOG,480,ahkoivlxxy
zzghqvokat,godhdtowyh,861,sdjlyccgqo,yhktcatxcp,-0.245,caT
457,qfgnvvwoia,0.128,doG,0.054,0.175,oytfcxujfx
cAT,kmutwvtekg,hsexdmjmvl,-588,546,DOg,-0.4735
