lbdanujbhc,hoxfnsvpbg,sqbeuktgdf,oxihnvutpb,wxcawhaiab,nfjltumiay
-0.2515,-0.496,cAt,-509,-619,wkwliwnrto
ulmaghfmzg,-956,0.4285,853,-516,qykjpxmszn
xgjnksmfhi,xwbzgkgcje,0.071,-0.336,-708,-442
earahfoipx,358,xzhybjnnxy,-839,-333,hrtyceytkl
nvaukphpln,-0.3395,oaofgiwuwr,Dog,yltndgarfh,-761
0.226,108,mbjnqakwog,dOg,492,0.2035
-0.266,lbvlcjdfxg,458,yavyiwesgd,729,taghpfonbu
92,kmyrsvbnrr,0.485,-939,hnytqhbnfu,-0.1595
0.099,-42,-148,garknlzgnl,oootkohbgb,DOG
960,cat,0.087,-634,-0.3705,-788
-303,837,DoG,wmwdctzmfe,-0.2475,mrfpzdtpac
996,0.4335,-175,cAT,qgezldlglp,bvsckleqgc
cat,dog,927,-0.035,-64,kdmhiohnuj
330,0.4315,pywcbcmdbi,-57,931,-0.3815
cAT,-831,DoG,150,0.196,-0.3265
