rprhkcvawr,mqitvoztgq,rkmgcpyawj,iusarmdxjj,peT,dibjdxpxgg,pceoogzcjq
hxjyjjfhxn,-0.2315,CAt,0.4235,doG,-69,jtyncmthpn
nkoaxhsyic,-0.412,hjscwwsjey,dOG,rtvtzuprtq,-834,bhqmiklfam
-227,gciefdqlbg,0.009,-0.467,caT,joampukjof,-717
pebvlsgfkc,wkssmllpud,0.141,-465,cAt,fwbvkudikq,0.1915
730,0.183,cat,yjgdxwtzpx,cat,ooilijgszk,-0.271
tsegufjpej,frxdeotbfk,-0.4,cAT,hjqwuqvmkk,hapntedpan,0.3585
73,kbyjngdycc,-0.205,-0.262,doG,cirvoiwiyv,693
-0.2555,wvgeuophhr,fwdpxgmioz,-0.3405,cat,-38,DOG
0.3115,CaT,-689,uvyyarggho,Dog,340,uottgkflgx
iadmkheidh,hhrwzqlqrl,CAt,-0.027,dOG,-0.2285,-0.331
tsqgmyjdin,-0.3735,0.279,tibyqdflyp,-872,572,qtooaduuqr
CaT,-816,stoxhfnebz,-0.147,CAt,0.1735,612
gcljogcviy,sdnctxyczv,-469,-0.3415,nokrlwudbs,-180,CAt
dOg,-0.499,585,466,dog,0.226,178
0.4355,-283,-0.451,-370,cAt,0.229,dog
564,798,cAT,cAT,0.481,Dog,CaT
-0.491,0.222,-0.464,-890,dOG,0.1945,vcneojdist
DoG,scfofxbtsy,hofqiowaoz,-0.472,CAt,-680,-700
