bhbdugrygd,gpwalphhid,xzdwzlxnac,carpajdnxd,decrnnisfe,wqfvyccclq,xqdgnvpcst
CAT,0.4625,-0.43,DoG,-126,686,-0.2915
76,-0.0655,0.4535,725,rwvfsddhjm,CAT,316
-22,ewmcyqtxeu,-159,ulzcykptch,CAT,-0.3925,0.4265
896,CAt,ospgnmnbsz,0.3235,0.495,CAt,-0.315
-321,dog,gtwmcropfq,341,dOG,DoG,scjlrdyhzk
-0.4325,0.5,knadjypcxc,0.3195,427,dOG,rdahbfepvc
496,0.2855,0.0205,-0.1975,0.497,doG,722
-0.2395,zayawqobef,-465,828,153,-622,tfthmhjywb
DOg,-416,-0.145,0.415,-0.226,-960,-723
eeojswfmmm,-937,-0.283,-441,-787,ojdrkffint,-0.1375
-770,0.2795,0.2275,-894,DoG,wrnberykuw,cat
aiatravepg,sdpzrxjeny,DoG,-716,CAT,razzkofqva,0.0085
wsgjvtbsws,0.423,sgmthxgkkp,cAt,hfqqvbqwsi,-0.222,iakhzwctrz
Dog,673,-795,924,-0.141,dog,-316
681,0.4545,jnpargsuxf,mnfursokdu,rvjuytrznq,Dog,0.177
Dog,0.1265,ggonfnmguf,-0.2785,0.1975,-0.1695,advaimzqxd
709,caT,CAt,pvcjrzhcrl,CaT,doG,seturipzam
uywcbzhtej,-0.2675,mdevlfphad,CAT,-296,vrhgaritkx,917
-786,eoloesdjvp,ifrfbsuacs,cdbrjvpsby,igfzjlasyb,-847,npgteaqxbz
0.388,cAT,ttvrgqyplj,-0.3545,CaT,nsstvhrolv,bfmqhsvcue
rojajaruql,cat,-725,-601,-0.1045,lhqvwtmepy,sqitpomdsa
-0.077,DOg,-80,881,0.276,CAt,62
0.1115,caT,tvlbafilfq,0.2665,DOg,-269,dog
rnfktratrx,-834,-873,hbkfowanco,cAT,246,0.2815
0.0665,-791,ghootnnceb,pjtqdjyscj,108,zhcweqhing,-384
-941,-0.381,-912,233,gjeiqglrsr,cat,0.0995
-847,0.3175,cat,0.4295,-79,dOg,-956
trosldxgbl,ymxrqerakt,Dog,ylkdrayudl,103,115,590
gdtwevqgam,gitqagvchb,yrbpkknfyz,-303,693,0.2075,nnkkxzzkfw
-0.3815,0.0875,-0.045,dOg,ahyezweirm,-490,0.087
lvrdnotjzs,dOg,327,60,talstxzpjh,940,fzucymcdrs
