PeT,yehrlwjmrt,fgwwsdnunj,htimpeakjl,dncxvxhxjc,nouuojqxph,szubjtmrex
dOg,-0.1175,DOG,qboxlojeqd,-0.466,dOG,-0.1855
dog,-0.4265,-8,-638,gtojsaggbc,rclznuvpix,ghjivypawb
DoG,Cat,0.188,cAt,qawmtylpry,138,CAT
CAt,caT,Dog,-69,caT,odvpquwaoa,DOg
cAT,yepinnaipd,0.484,0.3345,zesrybbnlf,CaT,qkqmdyybuc
Cat,DoG,cat,913,cAt,tgalndnwzh,-0.4775
cat,cjqauzodvy,251,-550,iqlbrvgwoh,erhbbhxbyl,-191
dOG,-0.4485,axfrphneue,-6,-969,-372,0.1795
-0.4875,-914,mmirxohtbf,-682,801,-704,0.107
dkcvmulqhz,0.096,208,cAt,0.142,321,-988
cAT,eyjstvgpyd,wxaykzzgxs,dOG,Dog,-0.164,181
dwynuhpihb,-877,-953,459,0.2165,-0.314,wvefxpcsba
CAT,-0.2805,ownztirmcl,0.337,-0.0005,0.3605,xtlhvdxfqm
caT,cAT,louqpisllw,0.088,-306,-410,-178
meekytkjrk,0.288,116,DOG,895,0.376,74
cat,542,0.3565,-0.339,0.026,0.387,0.1395
874,0.0805,0.3945,hmyvumvlau,0.1705,104,-228
cAT,773,-865,-315,lhmuvhevyk,0.314,-0.4695
-0.4995,-73,0.252,-0.24,cat,0.455,jtzzaxkjxj
dOG,30,-779,fjykqyermy,zxetgjxpvn,610,0.1485
CAT,574,547,-0.329,dOG,-0.4455,ziyvmyggyg
caT,0.321,656,aybdnbeada,593,0.3985,-0.4565
Dog,0.077,rscyfyxunr,-0.4435,0.363,-482,598
