zixhkzvoan,akainuubdv,htubgipdwn,ktravggmdw,rwanxjjskd,yhoctkmpkq,xclfgqvuba
ysossdeqbq,-0.261,-521,doG,-0.289,-0.2175,lriwmjvecx
bdnjwgmggt,-95,0.4815,cAt,-0.2825,jerrgvpgyt,-10
-0.24,fmkqspveqs,zobylrmjyf,ulsxbvyquq,450,0.3275,yvyewvftpv
-947,-0.119,-831,-856,xukprwuljw,koedvazipm,-0.4605
580,-267,-0.412,260,CAT,-0.003,-0.2535
doG,-0.1735,381,0.468,-0.3195,0.413,caT
hoyjpmzgzf,DOG,-0.1105,0.3805,caieoodvmk,vfnwkbjsnl,-0.408
dOg,jsobhawtiy,nexgvypwyn,cAT,dOG,-556,jxqldqnfwp
dOG,jdolszczug,0.3015,tzfkiuwhpe,fonvvthbcf,rugbwlcjhy,0.3895
989,cat,433,rjordluekn,punumdsruf,dOg,CAT
bfkglinhqq,clvpdmijjn,bsaafqeyoq,qetlohnnol,0.2135,245,-341
qtlpuvkbyr,0.2105,CAt,pbtamwaprg,cat,CaT,cjlhnqcenk
149,jvbqnrqqer,144,742,-0.0075,-211,-756
395,-0.0835,Dog,242,fugwuzrksq,334,967
-211,476,325,-0.2895,-0.268,0.2125,CAt
407,-0.0205,713,178,amwqovwadl,-0.124,jqcyobielb
nsibdlyqdm,0.4755,55,-892,-126,0.137,Dog
Dog,418,-36,-0.2985,CaT,dnthwyxfmy,-0.0075
ihfvzvshnr,CAT,DOG,0.184,-263,sqmkgvczty,ebafccvzzt
0.3625,tisljeznwm,emfwpjtbii,xmktuvuoif,dyougqvdbq,ujncimdnmm,xrxtwcrtgv
-954,qadbqpbgpi,-573,asoetengam,-737,vdfspsjhlj,oybwlnbfid
wmuodimefo,dog,-0.16,mnyvvauarc,Dog,kukiacaatw,kepvrrzfhl
-529,0.292,-0.275,0.496,-0.0965,dOG,nplhguiunf
198,-53,-0.0335,qzjsvswhwd,cAt,-954,-0.091
-36,CaT,dOg,-30,-0.2885,cmkpfcwqie,ncfxxhqwjy
-923,0.042,CAT,-117,cAt,omiywgxmre,766
-0.49,-826,55,DOg,xncfgckfrm,0.4645,-0.317
lehyftsoia,dOG,Cat,0.262,DoG,220,0.2865
bgorqgwcun,vyjdpjxtpg,-720,-0.1795,861,0.435,DOG
dog,-515,caT,690,-0.0125,0.4465,980
-903,0.032,Dog,Cat,jlerhjcaab,DoG,754
