bdxqjmhnrv,ngsztldxij,bpxhfqarxk,gbynrtufbo,kpwqgvlhki,kszjlocjtb
-332,946,CAt,358,0.4645,tziytbowxb
259,mmqhejowll,ihehuycnno,0.1,-970,caT
mcpftoievk,cAT,vxrzplldax,bojpbuyiim,caT,967
-976,602,0.1445,182,396,713
0.333,-713,112,CAt,0.272,-0.332
jzbrnoqwph,490,nezonnmbsv,Cat,Cat,unnvyokzbk
rbgfbgiitn,urjknftdrz,-106,yzhaujykru,DoG,202
623,bwfeqnzbdy,0.3245,ozvukgiowb,0.0595,0.4475
ehlswyladk,-0.1445,aysckoakja,0.39,0.0015,-0.2305
jehyjiloxz,-803,dOg,poixdzbrhj,580,jqbzekhvnl
-754,0.448,628,178,aylilbfuak,0.4905
ywhmnrsjoo,23,-18,hkbfrnnrtz,0.3635,-633
btvqhpwqky,Cat,dOg,-0.1105,dOg,zjpnpkodja
-786,cat,icxgdqgsxp,-0.0815,tfixtpisau,-0.4315
jifqsovrhy,ifbgyhsqww,791,0.2385,192,kkxbpoxpse
-511,ledtypxefv,-905,CAT,DOG,0.476
-0.035,ofmwiaqfhc,0.2835,611,-205,gjctwywsff
-0.472,854,-21,0.476,0.4495,467
194,ndacthbeks,tmnpighsoo,enstmmoyrf,jyvcsjbbcq,fxhcvgaztb
-0.3145,-0.4115,-0.316,69,CaT,-0.1565
bpisvhmunn,-0.12,-0.113,27,-0.0565,zljrjfejzh
0.155,0.051,Cat,cAt,-307,-0.3045
peexabvhed,clljqkfjrb,-0.141,898,-52,zkxgkzxfjy
406,dOG,DoG,933,-0.457,-788
-755,hvfolsaohr,0.1525,-0.364,CAT,-0.441
78,383,-0.2255,829,CaT,DOG
dtfucbxagr,-0.4155,-0.075,-0.0505,-0.4245,-0.3275
zgenfjzqkb,-0.106,0.1315,sbhveykkls,471,0.267
-0.4465,0.172,DoG,nbbplmthpv,dOg,680
644,phvyxqgpwy,awzmmhmrli,dog,jbkyvqhcnd,aazensckzq
dOg,585,0.3585,ztjtxcuszu,dOG,-968
ixkitpuzkc,-259,-78,sbvncuxdtl,936,likpgngolg
kgdjthhfwa,-629,rhhbyhoyrb,ejqpfckjxm,525,ctxigkrqmh
284,wbvvhcmoaj,xyepmipvna,0.0275,-0.4935,790
0.3605,nqyzxqffpa,CAT,Dog,449,DOG
0.335,dafnhhiwyi,epnavcpttn,yknendersx,cat,-0.158
-0.079,dog,-0.0455,rmmhwekoss,xygoyebdhd,ccioprtqou
0.337,-0.321,0.284,0.1525,CAt,-0.2605
