javoddheqy,btuwefpabe,kclvegqsjm,wbqenqizrv,gqajvzdapf,ujtqkahgmo
-399,-0.4015,-0.0065,0.387,309,0.279
caT,quvdpzmyxt,CaT,-0.1445,61,dysqjuchuo
0.4135,avoutwkvzg,0.135,-0.223,0.144,235
0.412,dog,-0.0805,891,0.1755,-0.2095
-518,vjmlecjsjo,CAT,qvcqnokgsz,556,-808
0.326,-186,vrjpdijgom,-474,588,869
-958,doG,-0.286,-382,uhzpznpufa,0.305
wheqhjccoc,hyibtznjnh,mvpdrhdwsm,-0.3555,-0.163,ehewebzowo
98,729,-327,Dog,njimxrjtip,qsmfxfhoqa
150,uurydfjmlb,-396,-713,-651,cat
628,-0.252,DOG,0.169,eaoizgllru,335
dog,DOg,rdpjyembqx,Dog,-900,647
0.4085,752,sjeldosxiw,-0.2005,-932,0.474
731,DOG,Dog,infrrqpsos,0.116,-140
CAt,-736,dOG,rdguovncud,327,lvibvhauff
-828,-0.2665,fmpbscbcbw,382,-0.453,0.0665
uchxwzvomw,ddrimnffvv,ujmqirybah,0.4525,awqmymjqoe,-59
0.399,DoG,cyqelwihis,1,wdvejizebg,ickkbvknfe
216,-0.478,ibjsljwtgo,-702,-90,-0.364
-166,-0.1495,ylfhxdfnqp,0.305,kdwhfkqnge,867
0.243,-0.1315,0.191,655,0.393,Dog
