tduatesuud,lkezwdeykj,tegvcoyihi,qqiezpmrdl,sxzgeqletk,xbghbeegkm
0.3105,0.266,-0.114,-0.4025,-389,czxrqtzedw
neuowxdnpm,hrhuktaaxm,-320,CAT,pnsggchtuc,0.2
-570,-0.4945,-465,qesufzndkt,905,0.1185
mmltdcartm,CAt,xmiulvcvnp,-0.109,rkabhjhsbk,0.349
kstgmkcheh,Dog,caT,nfruumfeox,tpoacmcwof,-0.211
0.0515,tznswufslp,jeesntykou,dOg,-0.447,0.0605
lsunkcsggp,zeynywknux,Dog,qkvqoqoquz,893,-826
0.232,-710,0.456,doG,41,-0.384
DOg,0.2585,0.3025,-199,cAT,DoG
cAt,99,-957,741,758,481
0.426,DOg,juwlokpshb,dlvuvcsryy,DOg,214
-76,0.3045,62,xfftlygmfl,0.446,-0.2555
-193,doG,0.076,-0.2135,rgsfhcjxlz,-0.392
197,Cat,550,jmnhksenht,-829,-0.0515
tcqkuqwdwc,-0.042,0.1575,629,-0.029,CaT
iiunqdcztx,caT,DOG,-394,ayfcuranfa,doG
-547,qeczwmtiyw,-0.0735,-926,0.232,dbnrzklzut
swglltfisu,cuifpkdrsn,okayxpgreu,DOg,ymqxkuamnu,cAT
-849,DOg,0.075,DoG,nijhidhbku,800
wkupczsyhl,tpfsclkixi,733,0.015,ivihytufdb,crgixyapvh
-0.191,awyqcodkgx,-44,-0.2175,smcjxcxxmv,dOG
DOG,-0.2325,-711,424,-0.0285,-475
dOg,302,yakrgpsebo,zcpjpccfes,Cat,nzjfzqosjc
0.3485,845,-62,0.2875,-636,-966
-728,-0.3495,cat,423,jiymszdogi,612
0.1655,-852,cAt,-0.3205,-507,929
-620,vcikgazdfy,zpbevzwurm,psckiartcp,CaT,-568
-521,isbtmcuyly,-0.3305,cAT,-292,-998
Cat,eykchfojuq,hdcayaftdc,-721,-0.4715,0.2455
DOg,CAt,0.249,Dog,dOg,-141
tlbctkuyop,-348,bilacnkndv,-0.412,0.299,cat
944,-0.304,Dog,303,111,650
0.019,716,0.4,kkruaruirb,dOg,-797
0.375,-0.4555,0.367,xmipppezbf,-0.08,cAt
ootcenqhkr,jdjsyehmvm,otymrawqsj,yyatskojzt,825,0.2485
qpseuawdot,doG,bmpvifgobe,cAT,0.0,-0.092
jzpemvdfyq,eodiolyyvl,caT,0.2885,DOg,-54
wkrwallxua,919,caT,uuqmgszuxq,374,CAt
CAT,863,-0.3345,nqnmbovcrq,vzypvdebzg,0.1995
-0.3385,318,DOG,udkxcavkif,-236,dog
-767,xoytoarned,DoG,418,kkvdivqfet,DOg
cAT,-563,418,-0.009,0.279,bdnlukolpe
585,doG,rdqomwwgrg,243,xtwgvooozb,Dog
-900,koadimdtdg,575,-0.2925,tjlqfofzcw,vajounrebf
caT,-196,-0.05,-280,365,vzzrofsypt
-414,dOg,yxbvjivxwv,DOg,-0.1405,40
kfnivezpfx,-430,fgqdinxysx,yxpoqlotef,262,-659
kwjqulzjtu,DOg,0.154,lnkfklyaot,0.463,-0.148
0.1935,npwhqnnvcr,-0.0995,-0.0225,bocwyfmeuk,zipriyynhe
uxaanclpil,gxtplkvocy,eyncpdcqbq,394,-0.4855,-773
qjiavisoal,-0.404,hmgvgzoelr,zoxqtyvbbb,dOg,criiqvirsx
766,bowckyrmvi,nequspvrhg,-0.152,-237,-103
-0.29,371,-0.4665,bzrntjfdgy,dOg,yechnftumq
634,mirwzitfcp,ddfbxmgajm,Cat,dqdeqxzbgy,-0.1635
-961,-0.467,0.1445,zlglaksptt,-384,doG
