oawscgpamo,wpyygmbgxt,utotsmkhmp,psvrvtskpk,jxluylhpfd,bzmjhithul
508,-0.379,0.1845,lulvqkcbsl,-0.3435,neehxzghei
qpfvywgbgp,535,0.448,142,0.312,ujlvixqtoo
-757,0.235,-125,rostmtwqsh,ajjxeeebcg,doG
CAt,cAT,zfymydulwt,0.4815,248,919
DOg,sdkzyirchi,cueuhdqgzq,-922,DoG,-113
dog,0.0065,-281,-827,245,pvcindvbgk
36,886,459,0.37,-759,-0.411
-0.493,0.4195,0.0125,469,objqmobjno,0.2835
ptmyulvpdy,oavfbxhnlk,lcuwsxlbag,424,-8,-0.105
Cat,-0.2695,0.058,fqlusrsmjl,szlxbfxhxg,knyajhughw
iowqoletju,521,-92,-587,Dog,0.32
pyamymjhca,cfxylomkea,icqsbtyhbo,CaT,uhzttsaxde,bigwzjizqe
cAt,vuqtrctesi,oxzvkkrdwp,vupdpoohio,0.293,532
CAt,814,-0.353,sowyjoxyte,0.1675,350
-561,0.3265,rjgurwlgxb,DOG,caT,0.4715
-0.0835,iaejiwqkhk,jyutyppump,pqwnotjuro,-712,lulgldslak
-20,-889,levgukdvwb,0.1265,-488,oxcmobncmn
-534,cciktopeeh,cAt,atwanhezjb,0.284,-0.2325
cAt,zxfytbpcik,dog,hhlkeshdhz,0.3585,jtlfrmctkj
-860,0.13,660,0.2295,pegslnilyq,-940
-17,0.1375,-0.123,139,okdnvtcafd,dOG
DOg,csknwkkwof,213,naobskiiet,-0.0165,nhxrpwnrry
-0.4405,dOg,kecqcrhcnq,lspkyfeoif,568,0.063
kmiihnjhra,dog,xisorrqfpd,0.0775,ptgpwqupsj,-0.268
0.342,erqwdyxksw,dajtxfqqmi,xepwagmadl,talrwrgbiq,-445
-0.228,-348,795,-0.2445,-0.3995,212
603,0.288,lhgfywmbht,CaT,668,105
-870,-189,-0.2065,CaT,-877,-0.433
424,lveclcphsd,861,-787,uheamabite,-419
tqlkkebztn,-554,nvzxuieyes,DOg,-235,-784
mustkldiyt,106,dOg,-680,564,0.04
-132,urgxrnuipu,0.2105,571,pllrwdgzgh,CAt
213,dOg,Cat,0.4885,-0.4045,ddocpggnrn
-0.208,jpetytrhrt,663,671,vmnwextcuu,-0.354
DOG,-0.222,dOG,cAt,476,0.029
406,cAt,756,0.0615,-0.4155,maekfsfzcj
caT,-655,36,-658,-0.2155,DOg
-668,0.3715,CAt,779,ivzawlgwzk,-587
caT,-0.4015,-921,maiawimwec,hnbreuhczh,puccvvuono
710,0.2185,-880,960,0.0645,161
-816,0.4265,0.3035,653,130,0.213
-320,-818,wpczrvcevk,623,uslywnlwnv,703
855,0.4525,-304,-113,-0.189,nxjbmkgelq
484,0.0425,tlkdayzmvc,-0.2485,Cat,-645
-0.3325,-0.123,cAt,0.2455,7,-0.073
xivqgjslmo,doG,-153,auzuloldec,483,hjuklmdwsm
