mygukurewr,sroycjtxrv,ibyzfqcbss,jqsnfassha,mpdjnqtkxj,oxulhzlzzk
-785,-0.2565,Cat,0.195,cAt,vurzzyjxph
cat,caT,-0.4925,Cat,tnzwlhhdgo,-489
xdboaohbjp,xaspcyaapj,437,guqsezparg,qrtsekuemn,45
0.2225,-0.4185,-846,-0.2895,CAT,aerwljqbmq
CAT,641,waaeakbhah,irnpmyuwhp,gworvdugyw,nutvwynqfm
691,0.029,0.2655,-0.0175,0.3005,CAt
1000,-617,-0.3305,prmufugoye,-610,-0.345
-826,-434,0.16,dOG,-0.4475,wefknrxskm
Cat,Cat,0.227,0.0555,skcnrihcoa,dOG
0.0785,768,-0.3775,cat,471,0.161
ccllcobjol,-0.173,vlvajpcdns,CaT,-498,0.229
xqolfytxqr,0.253,-0.078,-202,cAt,-0.223
owlrzuyfjp,808,-658,hdaaqgaoab,0.4315,-598
454,569,zhdlesxtgd,bkjcbwkkyu,0.3805,pwdmpdvolt
-0.035,-0.142,llpsjlvhfg,ublpnykpuj,CAt,0.232
-0.0755,udoonyhrtj,wkdcfpubce,cAt,0.1515,-234
crnmejezjj,-738,-818,dog,0.2785,tgfdrmwxni
DOg,yvyypfldtp,doG,qihnjztgpb,361,-0.0755
-0.342,xgxrbjxnjn,0.2675,DOG,tpivduepcg,-0.473
0.2775,140,-946,0.3415,509,hzfpcocksi
kyitxpflkt,0.465,883,-470,srptfgjgtw,0.1745
-862,uwwfjmmuln,0.3875,DOg,946,0.0015
zljjqdvfui,-0.0335,0.246,Dog,0.489,-106
cxpcvidomu,-311,0.045,dtmliyfyty,ynobsslbuh,0.0725
203,ehiwtbhlca,hlrgsuqoew,Cat,-395,0.332
0.339,ebrzraryox,-244,cat,hrhhoiaele,-759
zzpzsqulsf,-0.1155,ozxvdkpihd,221,-0.1225,-0.1385
-931,-0.277,0.003,cat,0.1005,fjxraxwvry
51,pawbsipjmi,959,cpmzldzdhy,qazpahciid,0.124
427,dOG,0.4015,doG,dog,sjsdemjcgp
735,DOg,362,0.2115,mnvwsnuzmu,-0.2825
-0.14,Cat,0.356,37,894,ixrumfuvov
462,-0.0875,-0.1835,caT,-0.4375,oilblcisgi
-757,-632,vpcbkrutmn,whspmscvzi,0.043,-169
-0.3845,-0.0505,-0.3685,sogdzuuxsn,0.054,pacpqeyjvb
-0.2435,juvjxlaxwb,tosutammwn,0.4785,ynjdbkoebw,-61
dOG,uqnedommhs,dog,vulfhlyagd,hqpedeaagn,-413
-0.3165,-0.403,rmuhofolhy,541,441,-564
CAt,-0.279,jnjsfpxghn,DoG,0.008,CAt
0.0375,dOG,owcjnarzdb,505,bhtrkfdcjd,cqfrfwofqc
0.4935,0.0575,DOG,kijmbqjerw,-0.186,DOg
-685,otgkvbmypk,DOG,0.244,-0.3625,0.159
qigrpraobc,-920,0.066,hlbyugytlh,0.136,-937
-182,caT,Dog,-0.368,-0.1285,-476
0.1595,makktwljfx,ksvqimujjp,CaT,cAT,dOG
ydvqqfajdo,-194,lqyoimvxio,-381,-0.3965,dog
-0.1465,447,dog,misgrtmbkx,-0.059,doG
imtqaanrxl,-823,shvhtbopss,-0.0645,-0.474,dtbaysvggc
-0.081,mkliuedvcc,dog,-916,dog,0.228
