qolzxzuiub,jsukepmins,qzpukwzxmr,gnocylckpa,peT,bdvvirzinp,vtmdjxcsdf
dOg,iwbklsigqv,-0.3,lmazgktagp,CAt,cAt,Cat
txgebmnfxr,0.4385,tavquukged,yetrwvvepk,dOg,0.454,sprbfylqfi
CAT,-561,cAt,whayxmzltx,cat,-487,-0.4965
0.063,dOG,-0.449,-0.428,0.2115,DOg,tqihmcnash
351,buepnhbvob,0.2675,zwvrdyljqb,dog,wyqjdifbms,-0.0255
-0.236,qsphshthka,0.2085,wdnxoaufjj,CAT,qglfvfnlha,0.343
-0.4515,0.439,-554,-0.106,cAT,sruefoxhbn,cAT
jmgeubptiu,0.33,-0.356,0.024,cat,utehnvyvmi,109
0.1255,-59,gbkdtiwuyk,qtsfuxthac,cAt,-59,dOG
-0.3545,-0.246,caT,CAT,DoG,vmnjesugsx,fhomvrjjep
0.281,331,ctuwhfncxi,vaesbqfqci,DOG,-408,dog
-0.232,ozpdnrsyea,thqdkakjco,Dog,cAt,0.259,906
bevvkbiccf,-715,kwtoxorbic,-221,DoG,iftqvtgipo,-0.431
-60,0.3655,348,0.1325,dOG,-0.409,inpkjpnrqb
xvyfdcnial,xnegnyzadi,0.192,853,fjmhzydoxe,-0.2825,0.3175
urdsmyediv,wpkxjwxzhd,-0.485,joduhttgwo,dwvinwgnsl,DoG,tzpyosqglp
-205,245,CaT,riciqfwzmd,Dog,ifgxjfukel,0.117
qqdvqbbbuq,0.107,-0.176,bqljyaltsz,DOg,wvmnfymhlk,0.12
smpxegliwv,434,643,mtqggfafwj,CAT,cat,frrhdtcpcz
kyeknvabum,-990,-864,0.3685,cAt,0.4415,bdhhelqesn
-790,ddgqvbdkfs,CAt,doG,Dog,-810,cabmodifdw
ycukvyelxj,-152,0.3085,822,CAT,rafgrkfasn,ncuteymran
ulffpvbfkb,cAT,0.33,kelrldpgac,dog,292,gftkhcaitl
eyshcbtimd,-264,-817,0.1465,DOg,dOg,-0.3065
