ofayqbpjnv,fkdzmepazf,cedkxaqrjt,mdaujezmer,Pet,fkjstegfda,knsxrnjuvb
zgzaycgnoc,fjgdgpkrzu,dOG,aqxicweagh,dog,-0.199,-0.0145
-915,zdypffzgru,-0.2555,941,dOG,-0.362,caT
cAt,-0.075,764,846,Cat,aaqhydelvp,dznugtpmau
vaxyymmdnw,CAT,-602,-415,cAT,0.234,-257
-0.443,cAT,280,ciguqybxkr,DoG,825,0.0125
0.3165,-0.4515,-0.1805,-0.307,cAt,fxrlhoukvu,-42
465,nseucuflfx,cAt,-261,caT,0.4445,0.177
-312,-0.13,738,xnforfhetc,dOg,-333,-0.2545
0.0975,Dog,0.298,-168,DoG,rcuvnztqfj,okdgqzfwaz
-0.3055,wuothxxius,0.335,-0.376,0.202,0.007,-955
0.1055,-193,-286,0.293,DOG,Cat,-0.382
CAT,-0.146,-223,nsbzchjudq,Dog,0.0065,-0.2395
niadgjkvlb,cat,jlnutosaek,112,-340,lnvplzqklj,584
101,-0.358,-0.2455,621,DoG,-591,dOg
pmpbvuhduu,0.4205,-0.216,daejnxwqaf,dOg,-0.337,-0.436
mtiagkqpri,Cat,-889,DoG,CaT,975,rvdduorryn
0.485,-0.439,zhyhwoeobg,-0.4695,DoG,0.2965,jqgcjuyxac
227,DOG,ndwatxcfsz,-560,dOG,-551,-0.4535
-0.002,-946,-0.1685,0.334,DOG,jwhsjgdeet,ppzcoikbxn
318,qjdhdrhzsy,igqpslqipg,-838,dOG,-0.0245,0.1075
-184,CAt,uwjusidvjq,cat,thixpgyoid,573,DOg
341,cAt,0.1615,aonuxmwdwo,CAt,uqwccnsset,0.42
qiowjdxrez,716,-131,vxpifboxpf,-843,-0.468,0.0815
rwmqdcvvmp,ratcwddkvy,420,-473,0.4185,-486,396
394,751,tbuxljifiw,fwbyktwgds,dOg,cAt,cAt
203,yhrnrvalnv,278,-884,-0.2055,-0.381,-943
nzucldvxhl,-0.2685,-149,DOG,doG,351,vrqpskqefo
zopirfmjfn,-0.465,DoG,-0.4155,CAt,CAt,CAT
ujwqbolffj,CaT,0.3365,-0.435,cAt,-449,rfvwvssgmd
-357,hgwszchtvf,-759,DOg,CAt,581,990
0.0665,cufqfjlwkg,dOg,CaT,qvjqkgtiio,-0.205,-0.237
dOG,wygjkvwclr,0.466,525,dOg,wxilzkwrhq,hfldgoykgg
-258,ucxyacnusc,-0.4235,-281,caT,-251,-0.3675
367,-283,cAt,0.161,CAt,597,-0.4605
0.157,DoG,vxyalepxwr,-0.126,CAt,Cat,-964
9,0.2595,-184,cAt,cdmqqhfyih,pkqrvupyrn,934
123,dOg,0.4045,tgfogzlugp,CaT,-0.1925,caT
ilaadgzfnj,765,pdbycikqyt,726,CAT,fbooggroui,0.3025
CAt,-0.1885,-683,dOG,901,-266,mnlemllaja
-0.377,-0.194,-0.2475,ybohmimoww,Dog,0.4205,0.3195
ucysipjjuy,427,-396,628,dog,0.173,-0.25
