kcicgdadie,vtparytmyj,lhfypwapsr,myvyingcqn,ayhspdsfgi,phxluobjql,helfknsrfj
zbhijuqedx,bgkupgalrz,0.2825,DoG,-0.3475,227,CAT
jfzevvfxai,-771,ackwkbntyz,xieevfcyae,-0.4795,jgamugkduc,54
dOG,-0.1195,CAt,CaT,-0.301,ljrfkzbbsy,-0.448
-253,gtoynptvma,-0.155,941,0.079,wtxkgijxqa,-0.248
-831,sefwjbqjul,qwcogdlluh,384,0.142,-0.121,byjbouskwe
cat,936,922,617,0.134,0.081,rbqtbexhcl
-0.1885,CaT,0.0095,dOG,-859,0.185,jxjtjaqkwd
0.3155,otvdgkroso,DOG,0.4045,-0.1825,ofbremuwvi,504
uorubllggj,256,sagnodhjlv,gbdyhkjcdg,sufoesvfcz,103,-0.0395
mueagacbuz,-0.0025,zrdfrjqiam,371,180,-964,158
0.3755,79,0.2515,DOg,vgcnbsixzg,Cat,igdfdooktv
Cat,0.099,impjylaplk,-998,jdslbxsjtq,305,455
0.116,-0.0335,-0.287,805,wwgbmmojmr,878,-19
226,-69,cat,-0.489,355,dog,-0.216
moemnntnxl,-0.2205,rkfhghtzmq,CAT,tiaamqavud,0.461,-590
0.4645,cAT,0.3815,885,0.308,-0.0395,-525
tatpjntdem,fkupcbesau,761,290,nssbwaheiz,-0.339,emibyrznmz
CAt,iulqrwwicf,-0.077,738,68,0.138,miqpqcwvzc
fsbqhvdvib,yzpehlmsaj,-0.2855,wtnqitvmcr,-392,-551,943
Cat,swihlweftm,-0.3585,0.3325,vxfbaybsmp,bngmyluhkl,-0.1035
-537,doG,955,-692,-131,caT,0.234
