awtbadkcdq,zltdtydtkh,vztrnmjlzx,pEt,rvcxpaqvmx,xetgfquxmb,abfbvsswpp
-0.048,703,tnqaemapyq,-0.0235,-508,0.422,0.4445
vdhsjiamnl,DOG,dOG,-88,40,doG,0.09
-145,kxqubypqim,0.103,cAt,-0.0715,620,-701
lfqezsybbf,-67,-0.356,CAt,erdnqbnwey,0.203,dOG
-573,0.101,-0.243,makrgqgqqj,DoG,-0.0975,bjysgogimu
0.187,wfafowuxlg,yfzywddcap,0.2555,-534,598,dog
0.3265,-0.045,-0.0235,-0.1085,-0.1665,0.211,157
gjzprfaeoq,lxteommwjm,dog,epwjjoidtc,0.0625,651,dOg
0.006,rflmqnpubs,-0.3205,0.0925,-267,-0.4015,0.1805
-0.305,816,fhzqugylbt,dog,cat,-506,282
DOg,-0.467,Cat,CAT,dOG,0.181,-0.177
nbovbtpdjz,qcbxleoovw,-0.401,CAt,vfldmwekfn,doG,fflipjdfhj
-325,-0.1105,caT,qfeqrirycm,231,wxiyktifvs,dpmkflvtmp
eclgexbeln,0.123,816,caT,cat,-0.446,caT
0.159,vnptqreete,cat,CAT,466,bvljlnwetj,0.329
DOG,nocxvdzrkj,isvzissifp,Dog,-11,CAt,-0.142
wzktsfrszf,nymyejmpup,doG,Cat,0.086,bnrtohrjix,-483
bccmbslcvp,-0.009,CAT,743,153,lludfjkrwp,luqjohblyq
-219,tgaeenbrnj,upwllkvvxr,0.105,ecvibrzjzn,836,875
-0.07,Dog,jauhukvzhz,-0.031,-0.196,0.451,0.456
dOG,129,-361,dOG,0.4755,-333,-0.041
773,807,-725,-0.2955,DOG,0.0075,-0.4495
0.235,epbakmwwut,363,dOG,562,413,0.359
561,CAt,-459,caT,-0.278,0.0155,nelabbjvcb
flwcevckzy,-706,-946,dOG,nszbmfcjmg,0.2625,-0.352
547,-0.1415,0.1775,0.4695,0.0705,-693,gxtnjsjncu
0.2555,Dog,414,Dog,bnkyyvrjmo,CAT,CAt
0.156,-765,695,147,144,upveliuloo,cfhfqoqiya
DOG,-0.1775,-277,dog,0.3305,-789,cAt
-210,wcyprtzeuh,689,dOG,xxcayfymbw,eqctozpemr,-249
caT,eogwjjbgqt,DoG,cAT,CaT,-661,0.281
180,0.0435,nwuuuqhhvg,dog,0.192,dngznhtppo,jvyjuockjy
-470,cluayhwjos,905,dog,0.4405,doG,0.0815
