knlahhyeom,ijuramcfzh,eilivvzvsq,bnhcqaqjbt,dxugysxymv,hpgblcfznv,PET
491,0.032,purxshsdiq,qnazgmofbs,wrssmdslvv,Cat,CAT
hcpchflund,chejwkezrs,Cat,973,qxqtzsdgkg,dOg,DOG
-849,dog,-0.445,Cat,godefixeqk,122,0.466
caT,0.217,-0.343,826,649,hkgabibrou,doG
pvrquienzo,aqxxuhwbof,-0.46,qltffpddzv,0.319,tlzednvkkj,cat
dOG,121,-172,-0.3495,emjfydfbzs,-150,DOG
artojcfezt,0.428,CaT,-439,0.2375,213,DOg
erwspbnihx,605,-569,-366,-0.334,zgkcafxdoz,caT
-0.4005,qmvkwkfoub,heksllreqq,foczparbyd,-76,-0.2965,cat
isazjxibog,367,0.1755,qcdqowslko,wfhmfbsswe,dOG,doG
-0.406,gbusxbshxp,cAT,gdosetlfeh,agmdccjksj,Cat,CAt
-0.0755,752,128,-416,CAT,CAt,0.419
CAt,soigvyiztz,763,mycirpxykn,-0.4795,996,-833
ptmlsuocgr,-972,jdaommfbbt,cbqmubxjxa,hifnleuron,-0.033,-615
0.185,-0.205,aarfopuyer,-194,-436,gzxdcrhjff,dog
cAT,ruopbkllge,gtyprxyynp,0.193,0.3875,0.2695,DOG
-0.354,tawxvsbdlb,-470,-0.0335,cAt,0.187,0.245
125,cAT,sedurgrgsd,-0.241,936,0.342,DOg
-0.114,CAT,340,doG,dOg,itmmgvmilg,Dog
idwsmuwaaz,bkyxlierhp,767,0.1645,-0.3715,-0.1995,cAT
27,hbupewmbeh,0.331,gelnpsavxp,-792,cpofncomww,Cat
