psvscnkloi,wbkttoneum,pet,npxrkflfxy,tiahirsvda,gzxlwzeokc,gmxerujyao
-0.0765,-0.3215,DOG,-80,uruofeyetm,-1000,szziwljtva
-0.4125,dOG,idtfkbuuau,0.4895,ragpbzowiy,217,DOg
0.1475,alfoaefgea,cAT,972,610,dOg,mcvvggzogx
649,270,-0.054,Cat,-462,jxrwhbprxg,302
-783,222,CAT,-0.3675,iuwkjrjjpn,-0.4435,-73
pknaaqqvcn,0.132,dog,682,dOG,elcjcuvfpz,-0.042
Cat,pxrdmzoyuy,DoG,0.0075,-0.449,-32,322
0.4355,qvfzxrfbxv,dOg,qkwuehbhrj,787,-581,0.0035
0.4965,0.1375,Dog,CAt,cat,-0.23,-0.272
DOg,-0.417,doG,893,fjiwikhbjs,aeodtnmynn,zktjkhaila
-0.228,ubybdixdhg,Cat,qhndlinjkt,-391,caT,vdvelqnxxx
0.184,316,DOg,439,-0.023,0.4275,DOg
-787,-424,cAt,cAT,DOG,0.271,-0.128
dbxtdtjffn,jedxxkpfaj,dog,584,-0.15,260,0.0495
jhiqqopall,0.2875,CaT,-0.22,cAt,219,-394
