llpgxcsqok,dsilqdrjsq,hxuhrublda,gwshygboqa,mfruecwbuw,jqofymwten,jgijzixafc
doG,uqlfyhlxrv,464,-0.0495,nwoitlpxvl,oebksgiifd,caT
0.374,hrhmczikcp,jmeziqxdhq,vyzpladlow,896,0.329,cat
-0.4235,cAt,vuegbbdmbf,0.1415,ilsbpscuhg,694,krhetdmpqq
-0.036,-819,58,-304,caT,0.3705,-885
0.264,-407,0.407,-0.466,0.161,zpbqloamnk,0.405
-473,348,-14,-965,-0.2835,-0.434,-0.448
459,0.076,893,doG,0.2255,349,dOG
xkctemwaxh,-375,-898,362,-753,-814,885
btrzpcbcsb,0.1735,eejcibrlmo,plzqjgeafh,-0.021,flugjhrloe,mdbaydqjxp
57,cAt,dOg,Dog,-0.377,-877,-0.253
rgmonwzcyg,DOg,-642,33,ixvclrhgzy,zaucowixhl,0.3035
wlgjftompx,330,-0.343,kvspszcksa,ransitydhm,-782,-954
jfbxabislw,0.463,0.016,0.2415,0.0035,doG,yjzvrpcaic
-749,sptvamjhun,jgovuaemfg,laioeexyru,0.3625,0.394,316
jurificmua,477,DOg,CAt,CAT,pgcmwdaosh,gprgclzgce
-758,Cat,onamvaxqbg,Cat,qcbwrwkwqg,vtdkdhgddl,52
520,ebydwdtpvt,oozmcxrtfr,356,-393,mnwthedldr,-0.297
-0.4715,-0.0685,0.108,rbuwemdgdq,0.235,0.2545,cnsjhlayjk
-390,xgnglcngly,-0.4805,146,ngtolcdiuh,bzfpmowqel,0.3175
-0.435,coytfsnhmp,CAT,awjiauxuno,-0.176,247,0.4955
DOg,0.1735,CAT,-777,Dog,-603,Cat
0.3345,cAt,qkmlgqkivo,0.0175,-0.067,948,kqtkoutekf
-0.4985,0.2875,0.3385,0.0245,-855,0.3245,0.1125
Dog,-0.1625,opphgrtddm,-0.4525,-168,qpdfazhmer,0.2205
0.48,doG,0.01,-0.4135,hyjcopwjva,caT,CAT
0.0805,0.447,ztlaciwpob,cAt,Dog,-693,tiiytfcbji
doG,-513,0.1765,-712,-99,txuwrxlcuq,-920
-448,0.168,-184,maxulsdquf,-0.016,CaT,610
0.301,tdjkuiewol,-178,cAT,cAt,0.0715,-0.4835
430,yplykkmslz,utluiaceun,DOG,-967,hnwmxnrfyp,jnpngpvwol
-527,0.364,-0.4185,96,901,-0.34,-116
-62,gpaknedbdk,pogdhgqpss,-0.2045,-0.3305,qtzchhbwuq,doG
CaT,fexhorwksj,rgylebkshy,-987,520,-0.4875,uqhgjpfuji
-0.4285,xcipkqbkci,CAT,-9,wymxjmnjkf,0.017,DoG
651,hmjkpreidp,dog,-0.327,-0.237,-211,DoG
876,yhstpgocyg,0.275,cAt,787,DOG,424
0.196,jhvdnubdzn,fpwzjfrcyo,48,-941,CAt,0.174
tbgxuniupp,-195,-0.4485,-0.413,0.4335,0.1255,DOG
-0.339,786,atasqhkjxp,-114,-0.372,cat,0.4875
-689,eyrelrntgo,tsxuqnmntg,naegodqklb,-0.1375,-0.1385,wbluhenfzd
dqonfdhyiw,0.4,737,-712,wxmaptwqdg,-62,828
-216,0.1065,-0.23,ryoruthrgq,kmwcdhburq,-153,-165
igtpellwbt,-0.143,587,-0.095,cat,0.012,-0.348
515,462,0.0985,981,-188,ynmkptjlva,DOg
-0.0275,-37,552,425,Cat,walphcqwly,nvdspvvoms
-234,0.064,dbnwbkftml,-0.186,tgnssujarf,firvsyltww,-136
664,255,-0.038,DOG,955,-901,297
853,dOG,hvmydiccou,-881,0.291,-0.2755,660
-799,dvjmcoholb,nasixkjsae,juzkssepkh,colhaohqgy,405,-611
CAt,fimwhbyoyl,-0.3715,fipffgvsiz,dzpezoooov,gcuxxznimm,dog
-0.147,qhivjbixgk,DOg,xszsspvvxa,fxzkzgegpx,-305,Dog
