bsaijptxzo,txmhjvanyk,PEt,lravwrqiyh,qvsrjtecio,mnrygwxtjx,rnmjvzzmyw
lkuujnqyfa,745,dog,149,lnfxnludya,-318,0.3855
-0.404,634,CAT,-346,857,rjwcuhztsi,bbatmyxrpl
dog,cAT,-0.423,Cat,-816,bdudydynfl,sqxhfzmrvj
-0.3925,604,caT,mbysvxnkzw,-602,-0.088,dOg
-0.4,-0.4265,DoG,-0.1725,ebkshjicbv,-0.1105,CAT
emkyiyioxc,kotufrscyq,CaT,0.339,owfwrevede,0.316,kqdnancuep
-0.3425,hlhhhaeowl,doG,552,-345,641,xtlmccqzpv
-406,wtzkmkmygt,-41,-0.393,-0.3025,-0.186,260
0.294,CaT,dog,hstkwkgxwu,0.2135,doG,-0.043
-470,0.253,dOg,-175,-486,-0.029,rcrrqpoctb
0.1685,-0.4585,CAt,0.3105,DoG,0.1025,449
0.4375,-682,dOg,0.3725,0.431,jbjvxwhkpu,579
-0.057,246,0.247,zennqboazp,-0.098,cAt,Cat
0.444,-0.3465,cat,-657,-0.191,fqmcwzcugt,cat
118,0.2845,Cat,-0.4305,742,pxakmtiogh,0.0205
cAt,dOg,-0.1035,hfkgycihhi,DOg,oltzepukpd,udtidgdjhx
DOg,frflchpkwz,tfzmbhxhfi,0.147,473,112,CaT
