fnitoscucf,kqyqspoaeb,xmveuxydlf,waymnnwnwx,itrxxqqhvs,yhffduatbw,uivxrbukvz
-0.041,-56,-211,Dog,-0.204,-467,-911
0.4995,677,ltrdktaxxk,vysxlexzuh,0.01,162,DoG
cat,cAT,dOg,cAt,dOG,-0.265,tacgtgiqhf
706,-62,293,-939,0.22,-501,419
-862,0.276,395,878,-0.0495,571,0.3485
dOg,0.391,gniynhyfiq,ugttkmqnov,-0.0725,496,-956
-526,810,tptjjcyeky,DOG,dOG,vyttalimzi,Cat
rhzxkguajn,521,269,111,692,639,492
zvzewavlop,CaT,dog,-0.3685,-439,otydzryvvf,kuhdfzwoea
twrfzozdok,otxqdncmuf,-387,ayivlbwwer,-0.3585,-477,yrnzxqpbci
Dog,0.276,0.068,563,0.071,0.0295,wlfircghzy
912,xvrkxeojru,cwxgaubagn,wuvfrpmfdf,-51,852,Cat
umoopvrazd,DoG,dOg,0.1125,-0.15,0.175,-0.1025
-0.3595,-368,-0.4115,0.1585,fipjbrwzcx,-0.3615,lgvyhsscfx
-2,-318,0.3295,0.3525,cAt,xzmooskdfw,ghkxhktttg
0.4265,0.4895,ntgxlvwesd,-0.2815,-0.217,-0.494,856
-651,78,cAt,852,-690,0.0715,injbpiqmib
ocotwowomh,cwonccldgp,qgxlbncbgu,818,dqhuaivlgx,964,973
