ugbxsnxpep,addotdcugf,kqlsjkohyj,uezvqawips,wdfankwajt,nzvjtcuawl,uqugivedxj
0.159,789,dayusrvlxx,188,CAt,obwnuqdzla,147
0.241,0.1465,idwxaiebib,dOg,dkcahmokjk,850,almtsxsiyg
-38,0.1395,0.1945,vrjzqqzmel,caT,-95,Dog
sggkeyfual,-301,-1,77,-313,0.084,dOG
nvqdzbizej,Dog,-342,822,doabvqnzcm,zweykfrsqh,cAT
pczkuupqux,vrfvxefotg,-961,xipbdejmlz,-494,doG,vyxhvvovhd
-0.0005,0.405,doG,-0.484,0.3495,pudyhrxekn,ahsycwtade
DOg,zmabritavf,-0.24,-174,-614,skfeypffnz,0.473
-0.2965,-0.309,vinkpxxnyq,dOg,36,166,-0.1785
spwrmiiswk,-0.487,-0.1495,304,caT,DOG,cat
cAt,-0.0745,330,659,cAt,8,caT
gvcalindwz,tphixqevxf,-903,0.1445,dOg,-0.3205,-0.3555
0.353,jjsdgwkngt,-0.4165,-719,0.0285,-0.2995,kclhebxivz
CAT,ffoipgbqqx,cat,-0.3795,dOG,-0.088,-0.435
cAt,caT,zbifarcpcl,mpstorwxwa,-995,-501,-36
dOg,97,-363,-736,0.153,0.1005,rkdxndhozn
dOg,0.279,54,0.0395,89,-0.061,-0.119
hzqsiglnwx,DOG,ygbvbqqsac,fgkhfyfpuh,Dog,0.354,-0.364
-0.0565,-452,626,hovkvtrfdj,-0.397,oauijlfbxq,CaT
kzpuwxwaju,371,-202,0.2285,qhofeycvmo,ubagekqvip,nacnfbqiup
0.3855,-0.4815,918,-0.214,CaT,ypqgagyaqk,-0.359
-0.486,-435,-276,CAt,-0.3785,dog,Dog
-0.483,-9,-774,ugkcdhvysr,-136,xmegudokgt,fogsbawqrj
DOg,-174,adgwntiong,0.083,0.028,DOG,zuyujxiwiy
jchmlavgen,cAt,pqkvqhbhst,wgwdetiuvw,0.186,-0.1475,ciradvogwg
0.489,sspygixmyl,847,-0.003,ebiunrqoln,Cat,oeujqpvoji
gcldufmbpg,951,687,0.1395,cAT,-586,uhkgufqkxl
-866,-0.153,147,-302,DoG,-96,CaT
-0.439,hewdbfpdzk,vqqerirosv,-0.412,acwttwkqgi,0.1615,460
CAT,0.367,-972,ryfhmypomt,502,0.4155,meuilstqdd
-683,cAt,wnlkonblqb,kxkrgqqtps,-0.195,-0.489,-582
etgyudimez,zsyaxxnjtd,-790,-0.29,770,nxopsytdmi,-965
-0.356,dog,-0.477,-0.4165,-540,slaaxuxnfi,-900
0.459,wamurftqin,Dog,-0.119,doG,wwsttekrwb,0.301
qwyxmwunez,-0.146,978,0.337,btxzfjvmlc,0.071,0.321
