pfoctbqhxj,pet,znlwxxxsue,xarddilntq,thtvxbluhz,zzchlhwlcg,ncwpllfsvv
CaT,0.4245,0.3415,11,-0.105,dfyiwbveco,qecceagfxm
731,Cat,jhupnhkgor,-0.0675,snvklmoogo,805,psogdrpeup
dOG,cAt,hqrypqzynd,-0.069,640,mlnniruwqt,vmlurlmpbu
332,cAT,cAT,oganaadoub,-986,-0.3835,jeduoxkglr
-0.32,CAt,0.3835,-501,-243,-149,-789
-475,DoG,511,962,42,959,sxbcmdpnys
0.0515,dOg,DOg,DOg,ieixhgprki,zvwbmikfsk,-527
-0.1055,dOg,ftuwsrelrp,cat,fppplxikxq,dog,glcvpkwtfl
0.3255,Dog,qxzpchubgu,wxysphqyng,jojekutyoi,-0.1935,240
hkcdkjcnki,CaT,-966,-0.062,0.0505,-253,igdvllgnyv
-0.118,kqoeskdxvj,0.132,1,0.222,vlbxvlixwu,-0.153
-326,0.113,wxcotukzfd,0.245,gzwakcqskg,-780,ngeldczxbi
0.183,-735,-508,-0.192,703,605,iwrdvkmrbo
-495,caT,-0.1575,wkdmownwek,725,DoG,bgquqiknrj
111,Cat,-363,CAt,dOG,0.157,0.3315
-908,DOG,-0.107,884,caljklphdb,lyixilhilb,Dog
doG,CaT,-739,cAT,fnhldsgron,126,-0.0555
-0.3495,dOG,0.2205,paastgnzmb,-0.0465,0.223,0.169
-922,ylxvjspspl,-0.0955,-0.0695,CaT,mtfbzektpa,-0.027
502,0.1295,gulasnghzf,Dog,915,dOg,DOG
mzigbngrpc,cAT,mwqqfwmjln,myocqvgcaz,792,580,0.3735
270,dog,959,983,-0.0665,ezalbibzvj,adktoqkibi
-0.1615,dapmwscabn,xtlmlivety,499,rovmbtclon,CaT,dog
-2,cAt,0.2435,jvwxwgxkuw,-0.113,453,0.3615
hznhpgzaez,cAT,-0.436,DOg,-0.227,zuymymvvuf,0.4895
knwxplyxeg,doG,xjnvpxdawj,901,vbrytizics,iiucktrkrq,fminhnmvkl
0.3145,cAt,doG,-474,dOG,ziuursyimb,0.37
0.431,dog,-555,CAT,wkkevmnpyp,227,-581
-188,CaT,85,-153,-854,-0.1755,-0.244
zxmrhtpznq,DOg,485,mvfvgofeir,-171,426,izuejrdqzm
DOg,0.2555,-845,CAT,-427,0.1995,0.4
-0.372,jiwkgozsvz,0.3935,dOg,-65,0.163,meqpfmrfrz
wvoxylkrwu,dOG,lvchcedkao,rdiwugghrw,313,0.15,-0.213
