jvsstdituw,tvmvkeevty,lvoescuohv,juwrwfmlyf,kidlkegcqz,ffnshjvqeg
-0.192,-975,0.1355,kghxcmkigm,quqszmrcmb,doG
0.3685,lybgixahid,-0.482,0.1405,cAT,0.4925
-25,0.207,0.025,-54,tybpslnukn,jivnzulrnq
-0.4205,-0.324,963,amsucfxkba,628,0.453
irtkqbfqmg,ktsvtzhcjx,-861,-0.411,90,783
zpsbnaebmy,tdbeukawcc,409,CAT,977,774
mcfjifzpfg,473,-0.356,jkrsmwcsxl,cvtvahebya,747
ycchysrbal,-368,lynwnpacjl,0.2055,-0.117,-0.3815
0.2085,-0.205,fsspeqlddd,puijdyoolz,gcoxiopgvo,dOG
0.0855,epujkmyrhi,DOg,cAT,hfukkiqkgl,-0.4945
407,gdudajpnsp,caT,nyghbcqard,0.4745,-0.399
564,-207,dog,DoG,dOG,0.0845
qwhcyyhcqw,209,-0.1195,-141,yblvtketsm,pldpjmzmyr
DOG,-471,nnxlegczlf,mhhqhgertp,456,-180
cAT,636,-553,DOg,-758,-739
779,166,ofvbsedqqa,-0.123,0.1575,keghdqwmze
-0.4295,-0.2485,0.173,-0.421,cAT,pabslpbngt
-553,ihqqspqbzu,lkojoclecr,modvgttpqp,twgoafuogj,bgrwkmjgus
0.1575,sfhymbusxe,-0.174,0.4085,seyoamdpyh,aiukmvwfqe
cat,plyemnsfhq,hqfsznwsif,-0.4435,378,CAT
zcsiohlwfb,xebiapyrmr,107,263,160,-995
76,814,0.2145,674,ihevazhuya,hwngzkhibx
-105,0.3385,-0.3875,-370,caT,dslgvggfjy
-551,0.3505,0.1435,beelcjfsel,101,cnpdzqvxsw
Dog,-0.2925,0.4035,0.1745,0.2225,0.368
CAT,-0.47,-0.358,-0.4605,-0.227,497
0.0975,-0.0295,cAt,-0.1115,-0.1675,619
-0.075,rackewtuqv,ckiyfqtooj,863,0.1005,biqmmxgiul
0.283,dOG,660,-0.3705,0.3955,0.3775
0.0095,-0.0415,713,vlgkmpiweo,Cat,wfymsifymy
518,CAt,DoG,xsrrmrtvva,cAT,ruqiaezuye
zivilqdaki,-0.146,hboodnssgc,dyhmarhbvl,-0.4475,yvxbmozwcw
rmiigklpas,caT,hyqalwvtqg,cAT,-280,829
cAt,-0.138,0.274,0.014,decdlgbwcb,-77
-0.1305,-0.0865,pnrdphmwqc,ucjbktklav,-0.22,haziwnczcl
CaT,bfjqyqpgav,285,oktasmzuqa,yjryspsqkb,dog
0.23,CaT,cdolxxkrft,0.0445,0.1155,mplfkewqua
crkcgiaeqp,dOg,-0.0405,stkzzdhcii,-755,usyhnnfpml
0.206,686,0.2865,DOG,exydozpgqy,0.0565
-0.0425,-829,xwtimdlupn,-111,-0.3525,Cat
-602,hfxjbofyqy,-0.3545,-681,-0.007,DOg
arqbnkyheo,-242,nuxxefuujo,cat,CaT,xqtdkeyuhp
-918,uijsbhwtre,28,0.3725,-789,ifnojalnuz
jjqsnryfob,rrtkylidcn,359,Dog,tnruyyfqmo,dOG
-643,-559,777,DOG,czfrqpbgow,ipkscyyezo
0.215,0.442,0.0345,qvxaecnxnv,210,752
-698,357,-995,0.152,dOg,CAT
yiqkpegcxf,-0.4385,0.424,dOG,0.1045,-738
-0.4145,-0.175,-472,0.432,-527,-70
-0.4835,-673,opsyycaifj,597,jebtzryspt,-22
