matalmdskq,mvvzmncihf,xshuabsnyz,tphxwoqatc,nybyzgmatz,hphfwqntdz
dOG,-773,-0.421,-0.408,zhcdficrzv,-0.334
wyzlrubnrl,-318,caT,unmyncwsbj,rilbbbrgmw,CAT
sjrekajrrl,-329,-820,596,0.15,-0.4295
0.286,0.362,mykcoonbnd,ebcfyxbsfb,989,DoG
ikkkncform,170,-0.3005,-595,284,0.4385
umbadvemlc,rtfonyppxa,DOg,atmtecouge,qmgmzaptnx,412
-0.385,zzhlfwgbws,doG,DOG,drcqpwkdob,-0.16
-574,zwiniqwnca,0.238,cAt,tpfkdutjxb,dOg
zqlzibxlrt,0.0895,nyrpviufdh,dOG,-259,dOG
0.365,-0.333,0.0685,-731,nflusrtlko,-0.224
843,0.203,806,hfsgqccsgz,311,0.313
-30,-0.08,949,Dog,-0.3635,-0.455
Cat,514,-0.153,-226,686,-0.367
ympmaaivua,-0.066,idbgrifnjm,yyuyehvnsm,grvfpwncew,-627
-0.2745,DOG,838,bmizhbnptb,wudrnreqwb,858
-644,mnnaxyhtkt,cAt,thlmzjefhu,-0.3745,-995
DOg,-0.106,0.0365,942,-0.38,fmudegruei
caT,613,566,DOG,374,CAT
zdczwyqfpc,-779,284,-0.3595,fajwgvuwac,431
dOG,-0.0415,gbalcgbrdb,-0.069,lmlsovnmet,0.0235
-855,26,-873,qwwncunwxz,-0.2535,fovklcoswy
-39,896,214,-110,-706,cAt
470,cpryrcdvci,0.0075,-0.0185,0.298,qdvihyhiwb
0.122,-919,doG,-529,yqykkfwkjr,gmprudnguy
-756,iiymzdwsxx,-432,-0.165,CAT,-324
enmdbyifnz,768,-0.376,-907,doG,ohwcyfbcij
doG,hgvvuwzire,-463,mhgrkldekq,dog,DOG
tqjqobexvu,0.2795,681,0.275,-0.2955,oguddzhrga
qxvxbcexff,bsqkdhgnms,remdeuuyar,0.204,-0.162,Cat
mhsgqrxklm,-0.427,-60,-0.142,vwqbpgnyqn,912
iqjdzexwwy,118,-0.0975,bwgfggqxqu,wenfcaeufd,vlpiyziect
rcfeablido,-0.4885,-20,0.1035,955,jwftbmwkzd
786,itpivuzckr,0.1035,-701,-714,0.3125
-518,598,vlnztuqscw,wiwhneyamr,486,0.1245
0.3545,qeprjbpaqn,shrjoujbxm,-986,-0.1995,dcawqhevzo
Dog,xabnvcvnyl,0.402,dOG,0.362,724
-292,gduuuellzf,-604,ellxllkpma,CaT,Cat
947,0.153,dlhhyvlvfa,riptwgbojh,-0.054,wecduoizyf
-0.329,-989,-90,Cat,-0.455,iowcgjahiy
CaT,xsolgsridg,322,-326,0.083,941
