endxkcqvpg,iwvzdowfea,chmatyiudb,nvtxwzuxbg,ezikfzxsux,vxzqhsxylh,grzgkcuwjt
ubhhsyufsf,yzhjunuefv,144,580,dOG,-0.043,cAt
-119,-0.358,700,-0.046,DOG,-136,148
-0.4265,uxfdogajjr,pjlurjtpxl,iwozyjpgdb,yxksdjbkda,-0.087,114
0.324,-0.466,-10,0.347,0.2675,CAT,567
494,jrqthlzxai,avaarfkxdi,wbkorczjqz,681,-0.0575,zwbcmnimun
-431,-278,-0.4305,vxfatgosih,-0.0705,985,vcaxgliynm
883,-0.2685,-0.4995,dOg,zxsaglqphw,rbicctmjdz,Cat
348,-0.052,0.201,-148,kilegqvzvs,qlkfdjewbr,-608
-0.3615,0.38,967,-0.1495,-874,738,dog
-0.294,xjarwfcuae,CaT,mfkdviecxd,CAt,-159,-0.055
CAt,zalloqtoaw,caT,25,15,0.461,fstbekwoqp
qgckfxvmht,0.0315,ygktaykxlp,-0.4535,cqrrcbzjyd,lalahqhlpo,voadjrssri
cat,-0.0595,251,874,CAT,-245,0.028
-0.26,cAt,-59,ivdfuviahs,xsshwodnyp,-0.4745,-0.176
-0.42,-0.374,-0.32,srkzgzulvg,ihwomnnxdt,dOG,206
caT,-586,dOG,0.373,-0.3575,xhjmkbvkzr,-0.304
-0.014,vbbazuqffu,nkhnfvnixi,-996,gcifdikpms,0.393,DOg
-594,piexzsjzyi,mdvuhvuprc,724,0.231,-620,0.425
-0.48,-0.0755,-0.223,aniyvzohsv,qdxsyohabs,txtkcijetp,0.1905
fpqrncklyq,-0.3255,lnjsagfucu,-552,0.29,-949,-0.3115
DOG,-0.232,-150,0.4605,-409,0.4205,56
585,vacldhwifh,tczmuhgzhz,0.289,Cat,qoqagyoxaf,-885
121,757,cat,789,-0.2305,-502,tzaaccnonz
-28,-0.0005,-0.0885,ovdrdhryfp,-0.194,54,-0.258
znnggucctt,-861,odcdpmgxxh,zqvwgwbxpi,502,DOG,-0.2105
-0.0835,cAT,dcvfptbhhx,-0.1785,430,cat,preopmqlfo
0.004,vtncgpkofm,ldssfxrnfs,0.2925,197,784,Cat
caT,dog,-0.308,204,-0.06,-240,-632
mxdwsbinjd,967,sihtzljrpd,-0.0225,-0.142,0.1115,-0.1435
-0.3055,ysurehquya,jjpdnyhtbq,-122,CAt,CAT,-545
283,0.3535,cpkvnxunym,dOG,-976,27,-346
120,cat,83,0.02,-750,0.2675,322
fsamjyvpyq,DOg,0.2395,cAT,fnwmvyczeh,aymytcjcsw,ggbattvdoe
xxtanmkgnd,lheawaviwp,nnkzrwemrn,ndrcxgharf,0.288,686,ipycomezmr
-0.202,-229,gbexxdcbgp,zzolqwkivs,gbxdgpcyha,ewfuxzpdbd,vpjrwviufg
-0.3095,772,kntlkqwvus,-808,krajjlflmg,681,DOG
-122,dOG,-0.057,-0.0515,-0.1745,jrnsctkgkz,vuyfefzyvi
363,arxdqexlzr,Dog,-0.354,0.3755,0.2365,prtjwyzpzb
612,0.08,797,0.099,-441,zdnyfhrhnx,0.4125
CaT,0.144,56,597,cat,wpfvrslxzi,0.18
CAT,731,732,-0.4585,190,260,0.083
659,-744,caT,zdquvtffem,0.1275,cat,-440
79,-15,dOG,doG,-340,jbrdjdzyrw,0.078
338,342,CaT,-0.2875,ucxksdoazi,nzzgzelrpr,lxrcpawypv
0.2395,-0.264,563,0.3085,-993,-46,CAt
