pvmgksegbd,PET,ggcepfbshr,snziobysjm,wpjaralwlz,blncownzuv,gwunneecvx
921,593,abrrppaqxe,106,yurernbmnd,0.4905,DOG
xhrqxmlujw,doG,-0.2065,doG,Cat,0.1755,-0.393
CAt,0.4715,0.42,-0.476,erhvyugzuk,lffkqaegey,0.25
cAT,-487,sdvukcuswa,-456,bialyquhwk,rcxluevpto,CAT
-202,dOg,117,-933,dog,0.432,tpgbhiosgw
0.238,DoG,efdjyqgfhe,mfbrntpjnu,cAt,onfllsvhbc,0.346
xjwsffhmqn,DoG,-0.1665,-0.1535,CaT,-0.485,tjkdivfveu
-0.093,CAT,-25,49,dog,519,-0.326
-0.005,CAt,610,Dog,CaT,984,dOg
cgnegtvzgd,CaT,-293,blrkziqbkz,cAt,dog,-0.269
dOG,0.085,-503,-426,dfsyuszgkh,898,0.1395
0.14,CAt,DoG,-0.1305,0.285,0.3415,-0.144
-835,CAt,-0.311,170,0.429,30,0.4685
bsfpxrpxaz,dOg,-758,cAT,-593,CAT,Dog
tyaadldrhs,DOg,cAt,izgquvaxhp,-0.1125,-462,-162
586,cAt,gpllomgmrc,kzcsdthzbs,-877,Cat,-292
gyleybktjf,caT,885,-996,-667,vfelkyugya,tacuddddgt
550,0.117,-13,CAT,93,wunaulccrn,0.231
-0.3465,Cat,-0.385,385,-0.304,qrlsdyoqya,hldzpspwge
mwmpfccxsf,-216,-425,-0.351,-565,caT,695
mdfwkgqlvt,kcotnmtqax,caT,-471,nevjzjxvya,kdgvywurdf,bduclyiddr
ahyfavesvt,dOG,0.298,-0.4435,eftrcqzlhp,50,0.497
771,Dog,ndmcjzavzp,ibkluxolns,gntbmesljs,whfzcycmke,-730
Dog,-342,-0.3895,-597,236,doG,ehuyzwgxkd
-0.3075,cat,CaT,0.0105,-0.226,cAt,-0.3555
0.416,-0.206,-0.413,wabrrsclns,upcnllcops,cAT,doG
doG,DOg,768,csybejvhes,0.013,0.0015,0.2705
cat,cAt,0.3815,-0.1105,-0.2535,cAt,Dog
618,dOg,piazyrdrpw,cAt,-241,nxbhdltwip,-64
fnjcjitnzv,doG,Cat,-466,-0.3355,0.3475,0.408
zkprzwanco,Cat,0.291,hgeoslrwih,-0.4245,0.2525,beinkhahah
0.369,cAT,161,Cat,altonlkwvd,hupznpnisi,klunjxxecx
-0.028,DOG,0.127,0.4065,doG,Dog,0.266
278,dog,xbjxjphilk,42,246,eimlbilaop,-0.0215
908,DOG,doG,-401,cAt,xyipfciuod,325
DOg,doG,0.344,caT,0.0285,-506,-0.16
pbqkxqjfns,DOG,0.446,-235,mxtwrmmcwq,kyvtajrxri,ygydgmeejm
qgmslekdnh,cAT,dOG,290,dofvdbggab,60,636
-0.303,wdkxboveht,-0.4995,dOG,0.297,-0.223,425
