qrspeyidzw,bclbiwidqr,cgrlaeoarq,cwguxgqxcj,lxomjowlxa,uhdchlyimc,hokybsyslo
-0.2905,-168,-0.436,-0.4285,0.4995,0.381,-0.376
dOg,-638,CAt,988,0.395,546,doG
210,-652,274,ouednndaok,-780,ndcddeubca,0.1725
-199,0.4205,-366,CaT,-0.166,556,etiyuhbhnz
wiqxirfewr,0.452,rtwycykiou,cAT,851,-842,kdgvpawkbc
avlfsyplks,798,xfbdcrhzyl,akcqxbfofr,ydgjkisyvz,478,xcmdvenunb
cAt,-0.0825,rfeejzuvwp,-0.1615,0.423,DOg,aibgodrgbm
doG,0.3515,glhlsayamz,gusqisdjdv,871,dog,aczdkqyyfc
doG,doG,0.081,yrhmjsbhpw,uomvnenlce,-439,235
-551,dwjxeudcnw,qsfvyovjcf,209,507,lqwcxfjehh,quqswwssct
pfyjfvxuvb,-0.456,knhtsfzota,-773,xrpllfyezr,583,-0.472
227,bxxxahaiqa,lysgcytloq,0.1505,631,637,-54
gbvlhcozni,-70,0.482,0.246,-0.4345,-153,DOg
DoG,-0.462,-0.2895,kqsjcwgqju,-339,-480,doG
0.17,abhewtoldh,ngkozkmlxc,979,130,lazcizqfpe,DOG
xwvgamtcfz,0.4835,DOG,bxsvjdnbjj,-0.161,-816,-0.0865
dog,CAt,nseeoxuliy,-0.2495,219,CaT,567
-54,0.0625,0.47,fklivhxldy,gnmlihfmyt,143,Cat
flzwbyqnvt,880,0.0785,dOG,lyvcvjzjfk,-178,-0.1155
jxrigtqvkk,707,tlbaecdpvu,cAt,qyhdbnryfn,0.0285,cAt
0.477,fwdvrrhtcj,767,789,dog,npgutebhuj,0.0045
0.3135,0.309,wfduqjiogy,-0.285,chbmnynypu,-690,423
bvgwadjryf,dOg,CaT,DOg,0.2335,-0.01,0.481
0.1645,0.1845,DOG,-0.394,lqnhqjpskz,ylzlfjdoez,4
owtuvaigsq,taswrjlpyo,-145,ywjyxjgpij,tztysehpmw,-186,-528
-388,tfdzbhzvjc,crxroseppt,jzgnhmtvnw,dOg,cat,-686
kmearozswd,0.305,myccjhpdll,0.494,baqevzqqan,-0.104,514
-0.162,caT,-504,jckkznozzz,ntfyammdhc,-0.118,0.4065
0.4885,DOg,uujrphpndi,98,dOg,-0.398,-0.122
cAT,-0.1845,-860,cAT,rpjfetpkua,tzrkjpvoig,0.2805
520,-0.3495,vkyqawmlmr,dOG,jcbcbxjfcq,-0.0355,0.2675
CAT,764,ajmqltloqh,-108,883,qynkjpdtnr,-12
208,0.309,CAT,560,-0.182,iwobnyvbke,0.2895
-0.4535,-35,oqonsrchxw,ihwsoqcnzz,148,rzhpjzktkt,urpqmfzubw
-0.26,rvrqjhadsm,0.463,byifmirkfy,40,-601,bzbmzsxutj
-0.37,bdnjzibdnu,Dog,-451,-0.097,165,-0.0505
caT,-455,0.2665,0.483,DoG,wtfvxkgcrj,caT
caT,-611,zwuczvvdio,119,825,DOG,610
pghbqbwmlp,-81,xopouwyexz,Cat,-103,cAT,-0.1285
tpvtjprpgy,-986,dOg,-0.3025,-0.3485,-421,-126
-841,Cat,gyhlitdzlx,dttapfeyix,0.378,smvwggtnhr,-0.3425
-0.372,kwjvmuoiii,108,0.3855,439,233,577
-983,-0.0865,hpnxgjtguq,0.1595,333,cAT,-87
