hebwxzmtwz,wpvgfixpxb,fndpyyogpe,vfwjaczpdq,mrgdqnayxg,ekuoqzjxde,pysdwzrtzz
-0.339,qbtqshkakj,rpoyxlsvfn,736,666,ugnmomcvno,cAt
pselwvlrmi,-0.481,-816,DOg,-0.093,-440,0.329
-0.292,lugznvgtif,viucsnkaka,848,-192,uefzxibiuo,122
DOg,bwvsuxxzsz,caT,myntojzwae,reomriehqa,-568,ywccbekbxe
apwcxfrfrz,176,giqotyhiaf,ssyqxovrdk,-0.0285,cAt,dfomirqdtq
Dog,297,0.026,doG,891,DOG,eokzyggzmd
cAT,dog,veyqfustpf,tnfyhwjbey,CAT,412,0.1155
jrxlyxxtom,0.092,0.2915,163,867,cpzrulcsni,ptokmcuwic
555,-341,msxpitwhan,onsflhbqkz,zojxzbbsxi,0.117,-942
Cat,dog,oegxqjxxwh,741,352,axmrheqwtk,-0.248
mpbnvyjily,zzpvwnqiwy,0.1805,-0.2905,DOG,782,-0.194
0.19,dOg,-415,424,gfzdqgybzo,CAT,-55
igblfnxven,759,doG,223,-0.2395,273,djkabmabnk
-0.4365,0.279,dOg,dOg,-0.4225,-0.4925,-0.319
ohinchpfbk,0.0685,165,-0.095,DOg,lhmyyfoanr,0.296
-0.3715,-0.481,-0.2205,0.2055,-0.354,-94,271
-0.2585,tnmmsqcyha,caT,-0.3465,737,-291,-0.472
ecsawqyopj,0.3955,Cat,0.3175,-0.484,-658,Dog
cbvjqjqppr,0.0445,0.1425,0.384,-0.1095,696,ekikpksfqt
-0.274,jzzicyiwyg,973,779,qdoxhtyfxs,64,CaT
-111,-0.0355,237,405,-0.1435,avjnivtmzd,-0.3315
0.2745,-746,238,0.437,zstuvieojh,earsdnffug,-60
cAt,-846,-0.279,-0.0895,-0.3175,-0.2715,ewkhuiwzit
0.216,554,abmwqjlqty,-0.1985,0.374,0.1145,-937
529,0.027,DOg,-503,nbzkguapfp,0.4875,Dog
iejcenlbht,CaT,0.379,DOg,-277,-0.235,24
dOg,-0.0435,CAT,42,tdktbfcusx,-979,Cat
703,-312,647,0.051,doG,DOG,-187
0.182,0.0435,knagidxnxs,168,DOG,CAt,tpghqqaczh
-0.045,0.026,nhnxppnztz,-503,CAT,-0.1215,0.1405
0.351,-0.0695,962,phyojnatrp,dOg,-0.0185,dOg
DOg,-0.461,xrzbcodlxi,-968,doG,cAt,-942
vdafklcnwx,0.427,-369,ggdyanebgt,-542,0.328,-0.188
-0.053,-0.43,opgzgoyatp,mvpkaephuh,231,-0.3515,uofoycacfo
0.038,zfripqmqbf,0.3895,CaT,-0.3625,239,hjvujjutzk
0.293,0.492,raeryihmpn,-383,caT,qejzaamzbe,0.0155
-0.094,0.377,akiogktsxl,dog,0.2925,0.2785,965
cAt,-0.1845,mgbswsatnq,dog,ltpglzqnvj,nkdmerahdu,965
357,ovpvzocsyd,-928,CAT,29,CaT,dOg
-0.3325,ppbkctrypr,DOG,-0.4725,pdvmsmfcxq,0.2915,-0.287
cat,DoG,0.1235,-713,-0.148,CAT,cat
