sfaocgorwz,xlimtmovzy,ctgzuajcrs,blmpscjnph,shpsfqleav,pqlmiuusrn,egjbpeztfo
ssjudlevyi,dpmhswebpr,dOG,0.2865,-0.0055,0.05,-0.3755
caT,84,603,nutmljqobo,358,907,355
brmpwannuv,818,CAt,0.1195,530,698,fnfuxwnvid
0.3465,-0.3715,-714,cAt,dOg,-64,CaT
Dog,-0.076,dog,tnsmzargcg,0.1675,731,323
-0.2535,grputugoae,kpnmwwmmbe,-0.397,etlmltlzlb,uzwedullzc,-0.272
0.0855,-390,-0.234,wxwpbsmpwf,-514,imcddqqjxg,-0.445
-939,jgzpewrtve,313,cat,0.005,kjmrnymxdr,190
eaicnlhcqs,mdbkntfkql,503,561,dOg,-0.2825,-955
692,czkctwgbez,969,ayzqvntbsv,lvpstamwbu,svtmoikdjh,836
299,cAT,97,0.2385,-512,xkjfdbvvyi,jdfvkriwei
-108,nlrosvhvdu,789,-151,xolnhnwaij,0.0105,0.465
-0.2655,242,cAT,0.427,0.2945,0.066,0.096
0.1055,jvansrmavp,fccphjxlcm,-385,-0.058,-981,cat
dowfsjxfny,cAt,-788,aflkcbocon,-314,-0.2645,Cat
854,0.3985,-846,Dog,0.023,0.305,595
-0.2965,tpvcbbdneo,-0.1395,-863,-620,CAT,dOg
DOG,648,obwmotbjvc,cAT,338,zzvwqoykdt,ixatcxrdjr
mxwazakkde,dykakffzyr,-0.1275,-0.364,hzzsabmoky,DOg,-343
blwbcymlpc,-0.005,caT,CAt,mvguubpjhf,hsjkocatte,-599
830,-609,-566,-30,-0.059,tqyzmwwodg,0.2815
salhvlkvcv,dhsunnjikm,0.3985,-0.299,mrcunnvwgb,mzdwsuxydr,DOg
dOg,DOG,-936,763,927,0.117,-0.2385
135,31,-0.432,DoG,676,0.073,493
805,ktacyifrax,0.1485,-473,kahqzidwmk,554,-450
nwreluqfsa,968,-86,-955,0.007,-513,-0.334
fjlrohyxjp,-0.3595,0.2405,xfymhikcty,840,547,-0.3985
qtomlvvdhv,tsyfbrehms,0.287,-0.1925,-348,-0.2705,fpebodjdgy
0.1505,-644,xqringssba,0.1355,hfxsxexhza,caT,0.304
-0.19,julozahjsv,daahfaifkl,-0.3565,-286,shgiiivdvl,866
0.367,ffdurupxpe,0.2445,0.3195,0.1305,0.0235,Dog
472,273,-829,-642,-608,-0.005,-0.2345
DoG,0.2835,0.3715,-841,-0.4185,-627,njfkncwfuz
584,862,DoG,doG,bhpjnksxny,eoipqsswhn,cxyrpoedkn
jnutfvrxzb,DoG,qetdlgdkgw,lfkjbouzha,Cat,-179,-0.1965
-0.241,edxkbpcmve,vupqsgkwtd,vtrsbfgxio,-885,xxrmytvqsz,0.0605
sjqnkrzxaa,0.432,CaT,0.0915,Cat,-624,-0.1625
CaT,862,wnletmzczs,mllfewnblp,877,ukakqgsbdr,mldrawrhow
0.3615,871,vjdrhfvrcg,bubpcduaxj,dmgiokjpzr,144,lsqajxehdv
-355,-530,585,-0.202,-0.114,fwlanqpcip,jeixrhkgqm
fwpoiepqkg,lnfrmkybxp,dorbgcvehk,381,472,0.4735,-557
0.132,qcaduncuvn,doG,-0.039,acipvqcxyl,-108,-0.273
idzqufbikl,-0.278,jnqrfgptbe,fdapyykhir,cAT,Cat,-0.0325
kokoqvqzxw,0.3445,-774,-0.085,-0.33,gbbsnhzzzr,-281
595,jbnidqrzpd,-0.3105,vsoqmxeomj,dog,mfanqnqswh,yyahqltomi
928,559,248,xbumfvllqw,0.319,-999,269
CAT,0.1725,-508,-473,aihlgggozf,0.371,pfvhlgdhnk
-680,pgtushnwon,Dog,-0.0615,616,gltgtdaxdg,yqfdfdnwjk
opiymtvyjy,-54,qoqiouwpvp,-0.166,-430,caT,-342
CAT,xjjrwavcmt,330,0.258,-0.0815,-943,-324
244,hoidjfqglf,cAt,272,-576,-0.334,pbnnhwsotd
dthrsoxqob,CAT,0.3465,ckzwglhyef,caT,fakxtdfoaa,-981
ktdxtcgdet,-791,-0.029,-309,cat,-0.208,-324
fukgypsaru,CAt,smyfejjlsd,-0.449,CaT,-0.138,dOG
DOg,0.137,dOg,cqyuawexru,0.105,dog,-853
cAT,0.031,-599,0.1445,asssiapntm,0.0655,306
5,CAT,Cat,fbxipcycom,sgmfggmdqy,avlbfnxxbc,caT
kdarotmbvm,-447,qidyjqwgpk,-472,-0.2505,nftkbtsvul,0.2875
0.052,706,0.489,0.0225,gywhjgppws,zuvogfjguj,0.1105
-0.052,-0.4125,-0.414,-880,-926,-244,qxzaubklzj
-957,visngnyltf,Dog,dovwxfarzn,-82,uuqhbuuoch,568
-0.0595,-0.358,dOg,-0.1665,-0.0605,-529,dog
897,-466,fhbfkechnm,pjqvojofzb,406,0.3635,0.003
515,-0.2105,-0.1905,wxpbypbept,DOG,0.0555,0.4725
ggbuyaykao,lzhsnxajic,Dog,-831,cxuiijwisf,mpigcbksux,-0.439
0.135,DoG,doG,-832,umgqfqrrkk,49,bhvmintyrh
