upnrigipgm,jwvfttdaww,mdmmpknxvc,shlzoglusn,hrcydhckbv,hmrnstgpav,vswnlmzwif
-336,-116,xlhshduvgc,zlcsrhkecj,0.462,dziugznekj,eydrnsgmul
dOg,dOG,0.2615,upmkcwoqcr,-0.2295,sjznsylbuz,0.2925
oaelkhahvk,226,-288,ankydnrmyl,129,DOG,dog
0.138,0.1515,cat,553,Cat,-0.3445,-0.227
CAT,-0.1675,-0.2055,dkwrhypdej,-0.3455,sngjmmvdbr,wtepjtqols
Cat,319,984,15,doG,dvimbsojpv,dOG
0.253,caT,luogjbowad,-39,ddggrdjanm,bvlrrgnrbk,dOG
27,dvyhaepvlh,0.464,0.358,-0.143,247,onyetomrog
0.431,DOG,lbatkdwlun,780,nykoycudne,0.0755,866
-0.4835,yimwvefmyy,pvojqicunc,-454,-0.0275,-109,-0.116
knaqhpbrxb,wbkiralsfs,-563,xonihlfejv,-151,dOG,-648
614,0.205,0.265,koybxlbdfp,-0.111,759,mvuqdjpnnx
tuzakagefm,-629,ctpxnuaaot,DOG,DOG,dOG,dog
-0.364,377,bcyoqjfifq,ljmadvizam,898,CAT,cat
losyzajxnw,-789,lherzcobxq,rwdfgdmpiz,-0.2425,0.441,-0.3005
0.11,-0.441,-0.2705,0.3495,iqhcsldmwj,0.4745,DOg
-450,CAt,rrmzpblfzi,0.258,cAt,layyzgdkve,-0.409
775,255,-176,-0.1885,142,ntxkyrafqr,caT
rytrvslhew,308,yvmmdeqvfv,-0.0895,inrxepgrlr,316,-486
812,CAT,egkpsyiyha,-0.4245,-631,71,-643
phdbuwxfex,CaT,doG,0.0625,-144,mcxvmienlm,0.37
DoG,559,717,vulsejrcfb,-0.437,dOg,0.111
bbugixztiu,-0.1325,-0.19,uisyefwxor,126,11,-864
-395,-621,mnegkeqjyz,ndmbadyvod,yoeprtksue,0.083,-473
-0.3035,xjcjukcmll,nzhnjdthml,-74,-117,fvqqiuksxr,uclpugfliv
-110,-584,-0.0665,dog,zhpxvjslas,muvnadazoj,dnhbeyxemq
hucuxpbcpi,0.248,jwwrsxuhax,xlunkoyxrd,-326,0.026,bjcapwtvtw
0.415,sdcocgwqlm,-0.3185,CAt,0.4615,lnebrdutnh,975
DoG,-0.2345,0.132,-995,-0.2195,-272,-723
422,hbnhiaapaj,469,-0.455,-0.0745,doG,-0.02
xqzciprcih,hxvjfgbroa,-220,vsuvhpmmap,cat,-1,582
cat,0.481,-717,udowsnnhzt,0.047,383,-0.4485
cat,nwkyimmybw,-0.168,-0.4665,-0.018,0.276,joasmlsxpv
xhokmftamt,-38,0.336,0.1655,285,cminumcbkt,-519
ctcblsjjyq,0.2095,awmjxqapkm,516,-0.314,0.3395,-0.481
njdctqsjsi,-0.2945,dog,295,dOg,alocztkgte,852
0.3175,-927,0.4975,dOG,tunbihonuz,-782,0.1995
DoG,0.2755,ctpmcvdvne,gxbafjspkk,0.1375,687,-43
