pcjfjcgibu,eaowrlvtzy,bnwyyjcycx,lvdotdeghc,xxvzjeyazt,scoadpspam
956,540,CAT,abeuvekukr,-0.4985,gziqizxtup
reeudpbggg,0.074,-793,pkwlvkqmyj,-487,-0.444
0.2665,-176,-0.4895,usygiwrzjz,-0.162,pemzgmjrjb
CAT,141,390,0.2855,Cat,181
fjuvlpqffu,-996,-417,dOg,-371,cat
277,cAt,731,-570,0.351,0.1535
-680,0.1125,vzgcdmowvf,jyubncmvuf,-0.3145,0.1765
doG,0.1305,487,-0.481,frnlxzojcy,pjcdzsxtqc
0.211,-1000,0.154,zlchwdiick,CAT,0.4495
CAT,hmjtevjowb,CAT,nwkmxcxabx,tudqfczmww,0.354
0.187,0.1555,0.0095,caT,-0.2845,CAT
655,-0.1265,dOg,CaT,0.1805,-668
-617,hzuebfoias,-983,cAT,-710,kegydeeemc
