szetwuphoa,jsfcmqzinp,awmhhrvidw,fuwmztxsig,pET,kgvgptywkw
0.2435,dog,oqxhmjduhb,0.332,wdqfegpmll,-0.053
0.3715,dgljpbtltt,eioawvzqbu,wexzyjtixh,CAt,-730
0.485,0.344,784,nswomocdkp,doG,-0.0125
0.0065,-0.411,CAt,cat,658,sfndxhezsf
yymkxqxsav,DOG,yoyjwrqzno,ilaejjrurt,caT,Cat
0.092,0.4535,-0.0885,619,Dog,caT
910,0.424,0.297,nngrlxyrrd,cAt,-962
0.007,gcehizvfdp,-0.025,-700,dog,318
-0.359,-0.1625,isanjtlfju,zjmigxxywt,CAT,0.441
-0.255,-548,-0.454,dOG,-320,763
kahobndopz,stpjarzlyv,802,gsauijtyvr,doG,364
-462,kpugrucsrx,-0.316,844,cat,sclqbezjdy
-0.3295,gnjjbrcqyh,-623,dog,doG,wpgpeckrln
jthzplqlgr,228,216,tujnxmzqkr,dog,-0.389
-0.418,doG,hylpifsqkm,0.4925,cat,bgvbivyxir
doG,-898,DOG,dog,DOG,vtaavxefoi
-473,ximiypxktu,Cat,0.2835,Cat,-377
-911,0.123,-737,0.049,-0.0645,frlnwyyoyh
-0.3855,xsspidrult,-810,gqaiymhjdv,caT,-0.1845
-0.0905,0.2755,Dog,dog,Cat,805
-260,0.1685,ycxctutvjh,-952,dog,caT
CaT,DOg,Cat,-0.0865,Dog,-0.347
mchokezvca,109,0.433,0.047,DOg,CAt
-0.336,nxlnrutcli,qzqncjhnhe,-0.16,caT,dOg
diiwnmsvrd,dOg,566,-0.194,CaT,DOG
585,lvdnmygevs,tyxdihikhd,797,dOg,ccyxeedhnw
-719,mwconbmxfu,dOG,-186,DOG,xhpsxovskn
ljzojnmyhw,0.347,0.016,64,92,-0.0785
ywqttbcejt,0.2545,81,919,doG,0.144
cAt,mrbzpidjoc,cAt,-355,cat,-492
tsctpgcjyw,-992,-303,0.446,-0.1915,hhbopeomty
btsjcjhwly,Dog,lvyfshpjik,-0.1345,-754,dOg
648,DOG,243,300,CAT,-0.312
-202,muxdegsdnj,644,-758,Cat,oivcuscwsr
uccxvjiire,sqtkzrpvmj,pchtazyjug,DOG,CAt,363
bprqtnmrco,cykioerwvj,0.274,meoxeydzgg,dOg,rnbmptgepr
rxnraugncf,-0.499,-0.294,-0.388,Dog,caT
ykvfccejjn,cat,xcnyqxemwk,lxcaosdesw,CAt,iqorhlcfeo
-438,Dog,CaT,DoG,pwqyoowykz,0.2095
41,dkelxplghf,-0.2515,DOg,CAt,-638
-887,172,kekltktweb,neexbnyczm,CAT,327
-0.239,dog,-0.4235,cAT,caT,828
-0.2615,dog,205,CAt,DoG,ujootcnsba
bsgmguwqbp,709,0.1765,-0.2275,-918,njuharwyut
-388,911,ovrhtrthoi,-441,DOG,DoG
-430,yaeoplmjof,-0.132,DOg,cAt,cAt
zwoxueioeu,405,nxvuqwuwih,0.18,Cat,Cat
udejbdycmp,-568,ovneauexly,0.285,hxnynrfogb,wbkdbbtrbn
0.105,dlpbtxzspg,543,0.194,CAT,lrpqrevhng
199,0.137,0.0195,0.0565,CAt,vruaqptkdf
640,cAT,492,-0.3265,CAT,499
446,729,-0.254,-0.0745,0.1615,kmhctgkzat
0.097,0.3405,-760,-154,dOg,875
-0.0815,-655,409,-0.316,cAT,ikkitdebcw
wxklbqvxjq,0.016,-0.195,-973,cat,Dog
caT,qkegtlujra,-0.2115,hcftbblfqa,dog,hzsvttvxnd
dog,Dog,0.263,40,Cat,jmtfoeiaza
cAt,dog,863,529,DOG,qrrwszmcax
0.42,0.19,-0.429,-0.394,cAT,dOG
-797,0.3725,0.24,fpkshqgzpr,cAT,Dog
393,niqrzztgww,panfqcfzof,-364,caT,-0.4035
-0.2585,ksbbeawfyz,jbytfcgcqh,dog,-0.4755,-0.3315
0.189,nmjppbfsem,lbklwtsgzd,delyjhokdg,-0.2055,bdvxrxjusj
dog,CaT,apfykgvmlz,-280,Dog,-0.2645
DOg,0.3265,wgjqcqgkpw,-634,dOG,0.04
peisolisuq,-681,fdiiiafxan,CAt,dOg,ckujqqoxrm
-0.1035,0.241,0.432,439,Cat,921
-388,-0.021,caT,cat,DOg,ltiacjvskp
