vcbyknlxcu,wnelwjagcx,pEt,sozmcdugmr,dbzbeqnola,lbyfwlrylw
-853,-0.311,952,0.4405,-596,486
0.479,-942,cAT,-189,dOg,-0.093
hwjjdtzchw,cat,-75,273,0.2715,mzumuwlkuc
doG,mndkplzibq,doG,CaT,0.252,-857
0.3765,37,CAt,wtkzuisclt,CAt,572
cqkvknzffp,610,DOg,0.453,vbejzbhuzl,cqpfemfpkg
DOg,26,-0.1445,bnqipjzziv,389,12
CAt,0.07,dOg,ebihzhzrht,DoG,-93
igbrlpzkzj,pwwybcqyxb,doG,ihzucmcevj,cnicqsmnbx,-0.383
79,dyomksvmjw,CAt,0.216,wkquimwlgs,0.273
lpcrrsxxdk,ehuoowpapw,doG,0.133,wuajurnclc,xjssyhxbwh
330,-0.415,302,adseowkjfk,-425,-0.2625
ysnqelzlff,kfbegxalyv,DoG,keoyyklmwy,747,533
0.1005,0.0325,0.3725,CaT,-0.2935,cat
485,236,prowktimte,0.061,875,sielrxfavt
qtnfupqcrj,kinbvpalip,zurbjmauyh,-595,0.2875,-0.2625
727,-0.117,cAT,552,-0.2675,34
dOG,cAt,CAt,svmdwddutg,cAt,dzlbfizmyv
-0.3265,CaT,0.456,suttvcqwqs,30,lpmmzaktld
-0.2555,dOg,0.2225,pqbfipfmah,-0.0805,Cat
wlvezkfaxv,-754,caT,dOg,cAT,0.319
-563,efqoaaxjmm,dog,jxjbpkcuww,-0.09,-0.197
ahdnypagof,lxkjxntqlj,doG,584,-769,qhcxtqwsfu
dOg,774,dOg,caT,fafzltoltz,36
-0.1275,703,dOG,0.4725,0.442,fwfzjigdmt
ilhapakrmi,-0.458,cAT,-0.3885,-668,Dog
