frjnsqtofb,ubrbzhojuo,zauseeebvd,aczxbopdob,qrqxavcpdc,phersjixex
-0.0055,-919,756,-0.3365,iqtfxytpww,dOG
jyjnqymtlf,378,0.424,122,phbeailcfq,letyceckrv
-838,-223,ivwlqpcekz,aqpnaevjit,-899,pjtsznezrp
xnbsehqrju,955,-0.218,-811,648,bhywnfzjjq
wkdinzuqrb,-20,DOg,cnwhokaadx,CaT,ssvgngzlty
-660,jphwbkqqqy,helfscfvgv,-78,owscfxeqvv,obllanuwgj
-471,-0.011,0.1765,-0.26,0.206,0.147
845,0.186,dmafiosgjv,977,alqdzgfwar,eofhyeudyt
dunjeqrqlh,dOg,CaT,CAt,0.051,fvbmyjjwiz
0.061,xqklntbdku,xsekpxvghd,cAT,0.125,atyraxvaxk
0.0905,209,-955,431,CaT,-0.194
424,cmvrnuxdzw,939,vzrdsgilif,uzfsunbari,dmgcpryeui
-0.1425,150,Dog,CaT,cAt,DoG
0.135,-567,401,caT,-0.1505,0.482
592,rerhjqvool,-0.1075,zbpehzmpkx,-0.0595,CAT
-467,0.1075,-158,iluksvuzqd,-546,looeowypfw
-0.2935,0.302,dOG,-424,caT,acvuwovlsb
DOG,jnrsghefvw,310,ijapcvocna,-0.1885,rpjtpmnwyb
cykoshlmqq,-0.4505,386,0.0155,-970,754
Cat,756,-377,91,459,cqpvnvnamt
rpevnerqmg,763,bfeupphrsw,xzcwqabgum,augcvgrgiy,vshzevwygo
hflcguzeok,-237,caT,0.1905,679,0.3185
-0.2115,0.3165,396,-523,-779,Cat
djltragrue,DoG,-0.342,gcypmncmyo,ydiejhscgt,0.1885
501,drzflumtdn,doG,-0.099,-0.432,-655
oittnflerd,0.098,gtenrfjpzn,635,jrwivzcuhq,328
Cat,-526,680,DoG,-885,cat
qypxecggfu,joyyfeahjn,-0.0725,-0.443,ptrjlimtsd,0.4035
62,DOg,dOg,106,-0.063,0.1045
0.1765,-0.1285,xfafxokxqf,Dog,-75,0.009
cat,312,-300,oimbeuhaqy,189,-751
fcqbcijpzd,-150,0.002,-776,cat,0.0795
rqvszxhmkj,-480,-0.3595,0.495,-950,doG
