jqyjstcjxd,phirawgtxw,fjudsovoiu,ufbsqbxdcm,fwksezvssi,jcqunmcxdp,rrrghjsppn
-0.4515,-0.154,740,wymqjecglw,-0.269,yiacfskogo,-311
blssnwsoos,dOG,-298,582,favmgnnspo,-0.0205,bggbudrdse
kdihbupkgl,0.3635,-617,dOg,lksdyyaavb,-0.4955,vaocvyhiew
0.256,cAT,372,99,-0.118,998,CAT
ynsqhgboag,315,-0.478,929,lwbgvirlab,ykizebeiuz,cAt
-0.4375,-185,-354,0.4175,-835,-0.172,Cat
705,-503,-0.192,166,-930,0.2225,738
532,vwxwxalzra,CAt,-0.188,lmarpxeoaj,bpkivjonbu,hldflhrfjs
sphzurhjlc,0.1025,jkblwwbzsn,-917,439,279,0.1555
dOg,mmairhnqle,shrrpchbse,doG,-0.2255,CAt,-433
-0.2995,hvusuuxbri,cAT,-0.23,DOG,0.122,0.3845
-460,cat,cylavivgml,-0.442,cAT,lwyrenvumw,-0.3815
ryufkqdpcq,gufqutufab,cat,ouhivarepi,DOg,0.4355,-627
264,doG,-0.4115,-0.255,cqrbyucgbr,cAT,jhkbvttkpg
DOg,zkamprefle,-212,-700,0.244,-637,-0.237
716,-0.2705,0.14,hjedrzqwod,-0.13,nnbuzxfxve,-0.3235
-482,cAt,kktwbmzhfn,603,10,Cat,0.043
-0.4965,-0.0705,DoG,jlsbvlbwxa,0.079,313,0.0195
invjwyplwt,cAt,onqrkkjvrk,-0.066,-0.0665,amitqomjkf,-825
CaT,DOg,621,-0.252,oilertospv,mscpgvmure,484
ilbzyjjqfc,-0.335,ccgjtzmiot,CaT,zpbhrxrmhp,0.161,-859
-560,-0.1445,-119,0.339,935,-99,-622
0.421,226,0.1075,0.2325,0.4725,pngpfxyscd,931
DOg,doG,737,gazbrcmjoj,djbkrujrnh,772,763
0.212,DOg,-0.1645,655,Cat,-219,-259
-0.0775,txpkunmijy,333,0.3715,0.449,umyrhrnonv,0.0045
zkgtdligif,-0.328,Dog,pjyuxxouxb,-254,-0.169,112
dog,0.2315,-0.4495,yumrwoxnlx,0.224,48,0.198
-948,624,dog,-0.278,-0.1695,dOG,DoG
-679,wuzgdiikmc,-82,mesrvzjccj,cAt,cAT,gyvciemmgh
0.0145,0.47,0.147,wtvusgpxig,srdidjrzks,mdrsxdermt,29
0.2985,-20,lcnitsecat,iplgjgvjji,dOG,doG,hbiwuqnesn
dOg,-594,740,dOg,905,telvwiqduo,chdedahutm
lmvgyiynoy,0.3315,-0.2935,371,-0.2855,253,-441
-319,pniiyvymma,-0.319,zkxmqcimox,ibznyjfivi,0.309,-124
dOG,0.4855,-691,sooydpriaq,Dog,vlswejrkux,-25
DoG,DOg,caT,0.2005,cAT,trrneixicf,0.1415
-113,-0.353,tgzqdjajtg,gayeaddjnf,Dog,-498,gefywrbwya
tstcjgjpkp,-0.048,-88,lzcnxqxmba,220,Dog,-0.3655
-0.0065,0.3055,-619,-0.2915,DOG,-481,-943
-972,rthcugndib,-0.1685,0.4145,701,CaT,-998
