gsuqbdrrut,PeT,xuhzsctxyi,hootmkaxiw,zuwuhshfzc,koczblyowt
ezdfpefoxy,-98,-0.136,0.3225,qyvhrhufcb,0.138
mcfcwlzdvd,CaT,0.406,-863,DOg,ueftrumkze
gcszsjajnp,CAt,dog,ddmxpuxetq,0.396,lciufkvdyr
-0.3245,xjynjyordi,76,fzbycxybid,eugtkvyclt,syirxfuuxt
0.041,cat,-302,-0.478,559,-66
-0.1065,CAt,-170,qmvyshrmyb,vrtvekkkdy,-0.0785
lafqadjvhd,cAT,625,657,-0.452,-471
dog,dog,Dog,CaT,cdjelcdneo,dOg
lnpafagwjw,0.2855,-0.4385,kuwyvbmaut,-558,-0.1285
okhrppcexq,DOG,tlufknufen,ftjfptqdzn,108,cAt
501,-0.384,514,0.149,-0.1885,cgwvjhukpd
rfbvogxxhs,cAT,CaT,Dog,0.201,0.144
-668,yepfkthyky,-937,cat,sbdzmlauky,0.4345
dog,vlwfyvfmql,-0.1525,0.1845,DoG,ieyrnaqyhv
145,cat,zoggsmlheh,-0.072,875,CaT
0.3765,DOg,985,935,0.4525,ocepjenkqu
haiptunara,dOg,0.3115,fkhmokzhhl,aymbzlfuky,doG
gwuzwhwzxv,-0.3935,cAt,jhdqotqxke,-0.2395,-0.3175
-0.037,DoG,326,0.377,sprcsxhrek,nosdlcnhzq
0.0525,CAt,938,Dog,yhmrboeglq,-563
yuodhpxart,qzbnjfqpew,uwtcroeays,-0.4425,324,-0.2365
ejqyqtzmps,cAt,arrgxgtkcu,CaT,0.3865,687
-0.481,22,Cat,puiclvxuvs,Cat,lfkrwvilzj
-0.177,-0.0415,doG,nbxfhyhaiu,dOG,0.216
0.4975,0.37,0.3005,-0.0925,jklcpdwdrf,lwknqszlyg
-461,DoG,-0.3115,210,-0.479,0.4685
bbedycmtmg,CAT,bqegvhxigl,cfbhckzazi,0.4135,cqqhipmict
neapwqilzn,caT,kfwytthagl,tcawyfjran,-0.107,-62
vhmbcjcctz,-532,bckugeycwz,wiaboaqxpk,xqefqgvpqe,737
0.497,CAT,-5,mjadmbmexo,800,eouojsukyo
dvzqpqyoiy,Cat,0.062,0.252,-0.1845,-0.1395
0.289,pcajrjieif,DOg,-0.014,zybbemvjrr,0.389
ioixshyhjx,dakldwwuer,-0.2275,kskwersbjt,198,CaT
48,txwwowurjh,370,kvbyeitjyn,-238,dOg
0.348,cAT,0.1095,pwwuywisve,cwgenhntkm,-893
