famivxsovb,yxdvkocyfy,pultrvsiyv,kjstibgala,snqxxahlvz,byzvbbsovw,oxcmfnpuvp
nzputqulnq,-0.029,rdjfsjcwck,-814,-540,0.082,nkzrvctpro
-0.233,jwhbenzzpf,0.075,170,CAT,0.2525,-0.2785
0.2705,495,288,cAt,cAT,hloebnstui,-0.3515
buiabptwws,-0.4195,-24,xbwzzlgizj,fwvpkvmmtp,vyabtpkoyl,aiamhujkfo
lmqndecvlz,0.0175,vbwiuufrju,cAt,-495,-121,CAT
jqlbvhzgfv,818,cAT,zmtxdrfhwc,CAt,-417,tamhalcfst
mtnrdfddhm,atkgrsfapg,-0.082,-0.4615,345,0.17,-0.21
0.4365,0.4885,kyopruvdkv,184,-0.169,ikwzktauav,dOG
qxlqetphah,zzfnhraxkr,rwqdtedwam,vtypnlfyld,cat,dinsxnysqz,sqezcndhca
dudzmacudd,ahlwfhejmu,CAT,awkhnwqfxf,bzfklxrgvm,hhmflarfri,DOg
CAt,-893,dOG,613,0.176,Cat,0.2155
-0.2315,zyaowtwvni,xkiorrmmbh,0.3845,lwybaqburf,cat,0.4255
-0.011,-0.349,adwufxfvzr,0.106,oioiistpyw,-937,566
grfmxkhsaz,0.024,0.3525,DOG,948,CaT,-832
-0.0795,zmqrkpguen,0.4455,643,-0.2175,0.0195,cgzbubjxze
caT,lyyldnyxkm,-439,0.068,789,-0.072,cAt
0.126,-590,-0.084,hfgvzfdbno,lcgyrxywip,-292,12
0.269,-234,-0.172,DOg,98,nbjaqdamyk,jikxojapgn
-0.1095,744,ppkoihtnjl,-0.463,wpavlirllp,-408,gjmtssjuib
-0.468,cAt,lwuciuvebt,oowntodcgn,-72,-0.3005,928
-0.1295,fksrrjltfh,elzgoldlhd,caT,cAT,faqsufcitl,urddjpbapm
1000,ujuendylll,-0.076,ylawdvnbaf,bxixjhgslx,kyqgtbugxl,wkwmpmdhdn
CAT,nsejsgwbgr,ifjatfamys,iwoilwjzgm,-0.1985,-0.387,jeqimupnon
754,905,0.0065,-451,cAt,DOg,CAt
-879,euozcuddqa,0.328,0.093,zunzixkqer,0.1265,dOG
ypvtpaprao,ktpdkqnjfy,dOG,-432,rnzzvrdiop,-909,-0.026
877,pvzmkqkzzc,0.2695,-894,344,0.496,-0.0875
dOG,1,CaT,201,qutouxhyyn,-0.095,CAT
-0.316,CAt,-16,doG,vskaytoovk,-226,Dog
xvnmpmqljn,0.0525,0.437,0.3665,caT,-0.061,epevsnqltm
-120,85,cyxtjkdtsz,Dog,-315,cat,-499
0.1375,0.1005,neilkytshw,-0.1565,-0.339,ecrznndwfz,936
-0.029,-540,qhwxsmltfs,DOG,widlerwrcm,237,-349
0.0295,517,-0.352,752,0.1695,DOG,-939
0.3895,0.2435,0.079,0.312,aphnhscgar,cxufmktesf,cAT
aqifzygnnv,-674,DoG,nhrvyavxaq,ucjjdaniaf,0.039,vvlslgwxln
lruaivkebd,0.3305,qgovwacxxv,cAt,0.3485,-0.453,600
