vmwbcruold,PEt,ozigsdyuam,tbjtfqobgp,rrxyprbswt,wfluspmude
-331,-578,0.175,utymmftxwj,btjaxidran,0.3265
944,-740,snzybbhlvk,lsvnmbpnpg,-0.146,cAt
-41,CaT,kpiuyiuhkp,-643,-391,cAt
-0.488,DOg,inmurisqlu,-0.404,nhebarkudk,0.0725
cAt,DOG,0.366,cat,-0.224,CAT
CAt,0.485,gdbkvmwwkr,cAt,espumxddau,-2
-0.184,CaT,-0.3735,-0.151,563,-0.17
167,cAT,aynyrejxsq,iklgnpxvkd,-0.2295,qyfjsbhupl
0.1525,-595,xdicloctma,-248,-812,sarsrfjipw
DOG,DoG,0.152,-0.389,-383,scuqqtepkp
570,cat,0.279,doG,dbyzcfxetb,lzopppcxbv
-794,DOG,0.157,-705,251,-0.3135
-0.3805,CaT,tvevvibwaf,oauzmtxvsp,296,xeryicctdl
0.228,DoG,wvuzvdijxu,282,zlytejncty,DOg
zzdpaljexg,dOg,vtwsrrgjbe,tgpjvyetdj,933,-250
-355,olixbjtxrj,-0.152,-0.0055,810,dOG
-657,caT,-470,ecyiwbelkv,olljzwoscr,dOg
-0.3885,455,iapjdpducr,jognvewslg,xmqjxvnzbb,834
261,425,DOG,xdganudxml,0.149,202
0.1195,CaT,xnifptrdja,-0.4915,71,798
Cat,0.1865,yfeffhckgr,-0.157,948,-0.363
-0.118,CaT,humiffpcid,662,-305,0.4935
xakejkbvft,caT,pvqprpknfl,-623,-545,-67
-0.2045,qqgwsgwkki,-670,-0.161,297,yffrxosrbc
degvvaxsab,dOG,-0.0215,qxkqteafgj,pyvnaazfww,cAT
niybcenmbt,DoG,811,-42,-268,0.1245
qdrargzpvw,CAT,CaT,-0.207,caT,hgdcavvmzn
-353,-0.043,-0.2815,kzdljfbjzk,0.0935,rcybdslpgn
-0.017,DoG,cat,-998,jqutwvvbfk,-255
0.334,delwionlhp,dOg,-0.3625,zutbmfvjnn,aojtzhydof
ihwkcfohng,dOg,caT,0.469,-676,doG
-193,378,xnfmdfjorg,-0.0995,0.455,871
blvyehzewq,dOg,-308,bqfktbmvyg,0.445,jcebvjfsro
-349,DoG,DoG,0.2865,968,399
-0.1605,cAt,DOG,-350,-797,dztmdwqsrg
198,95,-0.4195,755,-798,xjnogpqcmp
qpjwfkhmay,dOG,-0.1945,160,813,-721
0.2235,cAT,-977,kxzgerdaph,7,DOG
-547,-0.3425,56,-141,Cat,-120
rgmywmivxx,vnidmmencp,-0.333,0.1085,vhbvpwyrma,dog
