jeaxhiyljf,natdurwmbk,dbmventtmw,llcrcdiwbb,Pet,yxulhfoajz
13,-889,oekeivhkhc,-10,-0.191,CaT
-0.4735,-583,-180,974,-0.1675,mbxzedhetp
0.481,-277,arruzisrgu,doG,Dog,0.4515
-0.3345,kmuyijivyb,dOG,-0.0705,DOg,khwnzpqpbl
-870,nlwulbyxuh,lrjrxgheeg,cat,cat,cjejbdetjd
doG,cAt,dOg,0.496,CaT,-0.138
dOG,-225,dog,-13,CAt,eewnxgktuz
DOG,acytquawib,oohbwkbgva,352,DOg,-0.041
0.428,doG,evwacxaodu,0.0465,688,cAt
896,213,55,Cat,CAt,-0.165
