zgtymrcbqr,kmjrszakru,ublcnpcazg,beftehbpri,sbkpzxdiln,xyhuxsywhk,pmqltzlgyl
CaT,54,CaT,-0.2405,0.2395,DOG,243
828,0.4465,-0.1405,534,0.409,-334,pudtenanyz
DOg,loafxyqfkl,-555,886,0.26,CAT,-0.4475
0.425,0.011,-438,CaT,dcvytsrilg,-0.3115,-948
-0.0815,-507,0.0335,-593,DoG,-413,ayuprxixin
mcntrrghtu,eetrfinqdw,0.0095,978,qdppinpaop,-0.107,596
dOg,sdqnuwtxaq,877,-606,-820,58,0.053
ekzczyfbzm,-0.4075,-0.326,acinwnvzna,cmmzfzswmv,-725,0.4215
fbnjtetatl,-961,0.1895,0.374,mkbdakzykz,trtmvuntwz,-713
219,hxomcbzdkr,veqdyaqsjh,501,0.1105,0.1005,vnenwhkzfp
doG,rrnizdemqq,-682,DoG,-10,-0.4955,0.445
vtqbknvxmp,fxechgpwor,dOg,ncwtggmokz,cat,-0.369,dOg
cAT,cAT,-0.0785,873,745,CAt,-957
-64,-0.284,-935,cAt,0.439,DoG,-561
997,-0.185,0.034,toqiscoofx,-0.0295,-0.3035,bzqzdyzrpj
0.2495,llghntebaa,-56,-0.002,brohwyfkql,dtwmysxvua,dgseonenip
0.0675,-0.0865,232,-233,caT,zhyfyrilgk,vjrftqtpdz
-840,644,0.363,ipgjnnablr,bpdcfdvsbh,vdoalyijth,pfxzhmtobj
0.15,Cat,docqgfysnz,0.1685,0.409,qzjyuajjjb,0.045
cAt,fppevjgwbj,cwnhawsmca,-293,isgyrzikue,-601,0.4695
qcjcmxklzu,govwxqonkp,dmkxvaqyat,Cat,960,0.242,iuanyitcav
-0.0355,caT,-0.3245,0.112,0.0955,-148,-0.328
dOG,0.414,eqenrdgacq,111,caT,-794,0.3905
dOg,-0.4045,0.4985,88,-0.152,-643,xeqlrldsbq
0.1565,cAt,0.1,-0.102,0.338,avkthyoiji,-346
0.4985,-0.032,0.3615,ktwuekgatm,-396,fxwgrjumsp,-389
646,vllefxkgeg,cAT,0.185,ltpxaonvzb,-723,DOg
153,-0.3095,dog,-0.245,-0.3215,409,wdjitddkzy
0.3435,-0.3755,-548,-239,-0.4635,jknihlsbwy,eplxsxamii
0.1315,-0.1875,-232,-987,0.141,707,863
0.4315,-0.041,-261,638,-0.099,221,-240
-0.475,0.232,0.409,DOg,0.4605,0.351,0.468
737,0.4305,0.269,cfhomdxyug,0.193,-184,-0.01
mhibfcrigb,389,198,0.144,-751,542,-0.15
hojdnjiwuf,dtiganejro,810,caT,-360,0.362,489
-25,-0.411,0.112,dOG,caT,541,DoG
-0.2625,Cat,-647,cAT,qgmgfrgvxq,892,-358
gsfqdmhcri,-0.477,0.059,xlnyitwige,DOg,-0.1035,0.227
-1000,0.2225,elkawsuchn,-0.038,Cat,xeodvsbbhb,bkihwjuetp
0.091,jkovipdzjl,229,-0.2535,0.0645,puoxxtxzrc,DOg
