kszconiljw,pEt,mcfvmxgdok,tdfapxmhwt,vowuiiugkl,lssmtnofbh
223,dtmgmusqcf,alctudvesg,caT,-0.397,nebljzkytw
DOG,cAt,0.3065,jwhebkpgdt,kaqttnlesa,bdokcwdhiu
-593,mziulazvcz,-941,0.2335,765,-970
-0.242,354,0.2565,cjtyjnsyuk,780,qvdbnmhewn
eemgqxelxs,cAt,696,-0.1205,0.356,jxoyytndwn
foykidxsmv,DoG,xolsfuyxpa,CaT,utyzggzmip,zdxjipsvjr
labhznlevr,Cat,0.246,646,cAT,lmnirapuee
cat,doG,-0.3915,kiiwjudepe,-0.2235,doG
Cat,DOG,-906,cat,zpyqhgcmsm,-963
-922,dog,-823,-0.445,-154,0.294
-968,caT,doG,525,rurhhmqyrp,236
-638,dOg,510,unsxbyvveh,0.0065,0.441
ghihkdcsik,doG,-0.1065,-37,caT,0.306
hsfvofwtkt,DOg,tyodzinoeu,0.066,828,-0.244
982,cAt,xmpntqmnsw,-5,DOG,880
dOg,doG,Dog,-0.029,zzyiaadpeq,0.495
cAt,DoG,cAt,0.119,dOG,kakfrbdduz
Dog,Cat,-0.219,-274,qrkxhlrnfk,-638
vqnzibolbl,0.4845,838,CAT,oenlhmwnlb,912
-0.1115,dOG,CAT,0.1305,-388,uqtmdovuuj
328,Dog,276,0.4985,tghdwjglvj,0.451
fueojjhhub,DOg,ojxvbccqal,hxbzotmmqj,-301,CAT
0.486,caT,dOg,uzfbkrsdyg,CAt,-946
0.2755,Cat,DOg,doG,wgoskgspsh,bafnfyaabs
cat,CAT,0.1695,-733,zbsgpajsls,-0.3105
-320,-464,Dog,zcnolvgzpf,-823,-517
dog,cAT,barzbokxre,0.1805,ilkocnizrp,cryzfqudof
0.439,Dog,942,yplosevipf,CAT,DOG
0.0715,CAT,0.0725,-0.0255,0.038,0.3315
-130,0.4625,ybvwlsuzrv,dOg,-46,-0.001
0.409,cat,-0.3025,-78,doG,elqpofvuqd
pqydphzdau,-930,-0.3205,dOG,0.4285,dOG
nczfxpenzu,cAt,497,-432,-542,-0.382
0.4045,Dog,279,ckuqfnapac,634,0.4585
-0.168,-458,0.3415,35,ljwzmzwhjf,-0.2275
CAt,CAT,-35,dOg,0.4265,-0.2895
-0.448,dOG,-0.0115,fepfirglvx,-595,-0.243
-23,CAt,Cat,cAt,689,rqjbkrpntx
-0.16,DOg,704,mwxkyqlgxl,-461,qmpzewzsek
CAt,dog,cAt,888,-0.47,-0.0175
0.114,Cat,nwfcphtggt,dOg,-0.403,-817
-0.471,CAT,-970,czhdmgkpfu,416,539
cAt,0.1055,CAT,dog,dOg,340
ponmnvhhzb,-613,quuxsukbky,cAt,mbbwapgvgy,-327
DOG,Dog,ukkglpqmim,989,0.459,-0.1895
lpqicbnzia,caT,dOG,699,opglnhushl,DOG
gtypjltmjv,0.4255,385,-940,fomjrmjatn,dOG
cAT,DOG,804,-967,-0.396,-242
jqpmhwofdl,Dog,cAT,jzhrviaybr,98,khnvlcyvdi
kefqnwhdwf,DOg,fjduzypcsx,-0.3965,bzlrxyxorx,Cat
-791,caT,0.404,420,-987,yylhlnoaaf
Dog,cAt,-0.0185,-602,-324,-0.2405
cat,CAT,cAT,0.017,-0.0905,-0.192
rcctdaigjc,caT,-726,dOg,363,0.0055
dihapqelzc,dog,-836,kyckwalqec,-761,-0.2525
mscbhnpfzq,-0.356,240,-0.1255,-830,477
-0.087,-8,vsxkpkoawq,nyvwjrtfab,-581,380
hpkvctsioc,-0.135,embkorszdq,dOg,0.4195,kjtokiyaft
-486,CAT,tbujcdzowv,-599,512,170
prqshjinve,jmbaryobag,-669,46,cubsebmivo,dOg
DOG,-0.0705,457,282,-0.366,dbkbsfukkm
dgquyundre,cAT,0.335,-384,joefdxwhtq,cAt
