gfkgfywufk,wktcmsyehe,gdonibudma,ktsnzokeso,quuavbbkpe,uoqiitsszi
0.019,-0.0355,dog,577,ivfdrcxygc,692
nqzydmudit,-908,iibxvjhfvg,0.1255,-0.3525,dOg
-326,0.187,aputjlofbq,-78,iceukqrhod,0.065
-401,Dog,-0.176,ckziikadfq,847,svibcovwem
doG,gscdadyjdm,-215,qlsxjhjnzh,851,-547
-26,-736,kfgditvdfp,-0.0665,22,0.3365
-0.114,asvdmwjnke,lzovqrylly,29,gxcohbkpcz,tgchltiwev
Cat,-0.362,vftjklwvtu,oujkezyzef,doG,811
-707,odsddgzmun,usdxfmrcca,caT,0.165,igqbxxjjri
ggxyfryoms,Dog,311,-63,DoG,ctndkbmpvh
wgocifdweg,ibvduntwea,-0.1335,921,515,0.235
-0.298,caT,0.4095,-0.317,0.041,-20
821,flmphbseqe,mpyldnhkop,-149,-821,-22
-845,xrvcekdtal,wsfukciwhs,CaT,-0.2595,DOG
kyvtmkucrk,ddoqzesvvb,0.4585,dog,990,cat
-0.4165,kbjflwhzzc,551,-910,doG,zjeyixxifk
dblioeqpny,gwgqoszvvy,-0.2745,534,xzcjgakhcb,-0.2445
caT,753,-0.0295,CAt,begxzpgkec,doG
-0.075,-0.435,144,-0.022,dOG,0.021
DoG,-0.2105,nmeogammvc,-0.3795,824,-872
