pET,zdixjhtlbw,lkxhjozzqq,bgbnnmdion,knntmbwymq,ogmvotlbsx
145,-728,dog,762,hkdmywtpci,DoG
0.4425,nhuzcgswvh,nfujgrcnzc,ntonicwuji,ufkfohfenl,snfdutipbi
dog,-451,-0.1215,-0.3155,-0.1805,bajovealzj
CAT,-195,0.138,Cat,0.141,ifrvtjzkhz
cAt,671,Cat,-539,0.0195,DOG
caT,ejnoiemfvn,CAt,457,eubgtqjlqu,355
0.3315,228,feicmharyr,caT,DOG,CAt
dOg,uiqilnfosb,-315,646,-974,toyozqrihf
Dog,700,0.2745,zkwsuffpbp,ycqdurtrkd,-0.2745
-38,-0.3555,0.352,cAT,-234,0.323
cAT,zcljrnuayc,cat,-0.305,-683,603
cat,CAT,njxnzrjjsw,iulhpkiplc,akrjhzfsmd,0.362
dOG,0.0725,-101,doG,-753,semfmuapir
lbdtmyunjc,-0.1225,-492,jluqbfxgwb,pqgxdwxell,tlvcbplljl
cat,801,uondgkhozm,401,-465,rmrhhmjfrq
DoG,0.238,0.421,-0.395,DOG,-0.152
cat,0.3565,bgikukjsqs,-209,-472,-0.3645
hoajnevncl,yqyzwjxonw,394,CAT,582,-832
-0.159,DoG,caT,484,ujakdvvzdq,xsilmpgqad
caT,829,286,yubbimhjcp,DoG,0.005
-0.3715,-152,ghqxmadizx,-966,0.357,mshezpejby
Cat,DoG,rttbzbfdvn,-0.076,pgglvwevbf,636
doG,0.0105,dog,0.326,-549,617
CaT,hcsxsbkxei,hhimrcqebd,dOG,0.093,gckhacroyr
CAT,ooliahlmxg,ontkqazptr,kjzwzgywcx,-0.2725,nwslxudzzh
anxlbazaov,ktbbcozawe,-0.269,mqctiwadhb,-484,988
DOG,-0.421,579,783,-646,900
DOG,axdhhzcivk,satinpcgua,628,0.4625,717
CaT,-59,-961,-538,-0.218,946
aqxxvmajbg,583,mmyisttyil,cat,dOg,-698
0.256,-0.0775,uijgljzliu,DoG,-0.1315,DoG
CAT,-862,-0.0845,-259,Cat,-0.463
cAt,mktmbgkjri,107,-0.0185,hxsaopkolz,-0.258
0.434,cilchojxwn,vaysyjptax,cntftifhkt,eldiujqadb,cat
cAT,342,546,giagfexhmf,319,rcszzcrbrj
cat,Dog,-0.3505,145,wztaegccqn,0.165
CAt,0.0395,dog,rqhacxqomp,30,siwlnpcpap
doG,cat,-326,dOg,qvilzqypxp,pscoxhjrsh
0.2535,ljuxfzrbdk,0.1695,-0.1495,fpsuprdxrz,657
