uzyqnehlvc,mbbiutuyab,uvpmldjiwp,ggwiykgrbf,famudwrqgp,apdhyugzyc,ivfhacpqrn
427,xwnvvpwsqb,-0.0025,197,0.2405,980,-16
pqbwyufasq,188,kvygkhgkwn,872,21,-0.396,325
eiocfdjqbl,-0.2465,-0.127,Dog,299,CaT,-0.1915
0.1205,DOg,yuymqdzxxw,plcqkslupc,0.204,394,-215
256,DOG,0.4835,cAT,-0.0075,zbbydodfus,992
nmsyxzbajq,cAt,162,-0.464,cAT,cAT,DoG
Dog,cAt,dOg,pycwfzdyrl,-316,xqjyyzjsun,cAT
CAT,0.1165,0.236,-0.283,hybfqmiovx,337,khpukdxhtm
0.0445,-851,ngxgijrstb,iybblwtqpo,585,-440,-0.2915
690,thewyfosxn,586,-767,dog,cAT,-52
0.0595,-107,907,588,459,-0.1905,-0.248
-50,-936,-0.424,210,443,-0.488,CAt
-234,-335,CAt,rziugrbsyu,ppnyiukcvb,smpitglfzd,-0.2095
0.034,-965,sdpnmuesyw,doG,cAt,wrlaocwybt,-509
ljavpuzwva,-752,cat,714,aqrdskragd,qfmhwxsotm,caT
190,cmqkymnoyd,-0.4255,-0.3345,awlnaheppq,-204,CaT
ijywhnhlbm,204,0.257,vfnscdhjyp,-8,0.422,684
-584,-0.304,542,cAt,Dog,-991,DOg
0.4945,0.186,0.2655,-607,ndxyaaadoq,dOg,bdsnruitgn
ugbgrweceg,mnwvaxpqth,lzwtmgnwzt,-212,0.267,285,msetvhnvkv
doG,183,0.0435,-862,jnkukcsxnl,-0.022,fzblpynqrx
-0.0985,qqfkkgywql,-0.4255,kazpgwrchg,-11,-0.2565,580
734,Cat,CaT,-357,pgrgyxyvfb,-0.1405,dog
-0.4745,-757,-875,-791,570,hwpkvrgljl,afnowaynju
0.3805,332,95,-0.011,-835,flblqszbzb,0.396
610,nerfiubptp,zwtcldkfbi,cat,Cat,-222,ontenxoycn
0.474,-648,nynrzpbrim,fchlwkjhco,cnvrbndwzv,doG,0.1645
DoG,yllbyvhklu,-389,Cat,-0.1895,0.461,DoG
CAT,nmyyzgnohk,rfvejjkmws,-717,0.202,0.2095,996
0.345,cAt,cAt,ybljeqbrsi,dOg,0.196,DoG
-0.1315,165,-304,-0.48,0.335,-291,kyymmqpbhx
332,-945,0.46,dog,0.225,doG,595
933,udoyknjibk,-630,loqszlkmzs,-494,838,uahdqvcnpp
DOG,-0.167,dOg,0.0885,808,0.435,0.404
qslmpxprwt,doG,953,cat,cAt,lsssstkuok,Cat
-0.251,0.138,-0.4685,0.2325,0.3195,0.355,-208
0.368,mrpjjsvrqk,mxqgpuxqmx,-0.125,omtsivsphw,bomvszvgtd,-577
562,0.402,yumivamqhc,dOG,456,doG,caT
qbigybwozs,0.159,-973,nlfxifyfpa,peomokeaqp,-0.0895,DoG
177,spihqqbxfl,tqgjnjlqkr,-468,-0.294,0.095,-677
0.3445,-66,-0.1705,328,0.3605,florxvmafq,0.039
908,-0.359,0.078,-718,-286,iocjbhxdnz,lniahclybv
-758,caT,0.2375,337,yuskahwpcs,mdjhzznlyf,xwnejjpcwa
-0.474,0.0995,dOG,sixdfuupms,-218,musqjluyrx,817
520,xuqdrcozsm,-751,qhahhjntqf,-0.1065,cat,-0.308
-548,0.4605,537,175,-759,-0.297,335
CAT,yoxxkucpwx,-0.421,0.2475,-297,0.1195,DOG
-0.2745,kpklvicbyj,200,840,394,rbedtbzyfj,-407
