pzcxlygqdp,qdxtldmnil,gghceldfay,rancmlcghs,uxbsefydfe,hfmlujiutq,nlhbavgfhq
-0.387,enodlrkgmo,tdqwlcqpvv,beeotejvlh,wafgqtloqv,tfagpukrmt,716
-446,zssnfprlol,-518,-300,0.2285,168,kgfhzvurze
-51,0.415,wejyynnhjc,smtauucdsh,lgbpneanik,-728,dOg
dnhqwhzqhy,-286,movjitzewd,489,-637,-0.4085,cAt
pguageykqw,-0.14,-313,-0.1505,cAt,yhveeszeih,-0.3505
dog,200,0.085,notwdjiblv,DoG,vxtqqmdjlv,caT
-125,DOG,ybeanfgvvs,etycfgnkqx,634,0.264,bfxmtmwcwz
-0.2365,doG,705,doG,0.339,dOg,-549
0.224,dhclwtfhhb,deolvkiwth,595,0.4785,bosigsjdgl,aldjtvvmss
dOg,55,CAt,61,bczyqbnlqr,-0.3775,-631
572,-352,15,CAT,CAT,dOg,0.29
-0.0885,0.326,-918,-302,-592,rfdntrqkjy,cAT
0.1055,-84,-994,827,aldeabetii,-0.0765,-0.44
0.3415,0.201,DOg,0.3955,367,wwcitwowei,-571
0.1705,550,igsraxjpkf,0.2065,669,nnbzvkivcm,rvzwmmftrf
caT,jbkuyhsixg,bspkeswryv,wduqfzswjv,-420,194,0.465
viutllmjvb,-0.0865,wvopwihfat,tsmvavgump,koabuaxivu,-757,0.307
zvmsyikgdx,0.0345,lacarjrhhw,0.488,0.31,uwjbysgmtu,0.164
0.1565,0.2615,-0.39,dog,gaahlrqtdg,Cat,-0.352
-94,-0.401,0.299,0.387,rpdrihpcmo,nqikawgorf,fhahbogyzp
0.3865,oyptnfnmwg,-0.0345,cAT,-0.048,ddvcpakunn,0.0535
-411,483,884,-0.477,cAt,nhnlgnelyf,0.381
