hwdnrmvevd,dexeuxgrmp,uwycicikra,pxetwbhedi,bzsioexodp,zfplhobzgw,reezkoktme
-0.4415,DOG,DoG,krtzyjozxn,eqreixlmpr,79,-38
Cat,ykbsihslpl,cAt,0.177,ujxdigbzaq,cat,tirzstljqw
0.141,-0.142,cat,roxadiaewe,0.3705,-0.0845,0.0295
327,0.1705,-379,caT,0.0075,prtpwwgcea,0.175
-0.2895,-0.278,-769,DOG,500,-0.1345,0.231
-0.1695,0.189,-0.087,816,dog,-382,dascguajcb
cAT,-0.2745,fayqquygmu,DOG,-199,ovrfyatmln,uudfagazxn
Dog,CAt,Cat,naulffjvbb,mmxejogxzo,ociqwhdmqq,DoG
845,DoG,exuscffkjm,-0.0765,DOG,765,ljiqimuzdo
0.131,0.2035,gwdxiyyqor,yorohivhuk,0.3415,ntlijxdwjb,0.1155
cAt,-938,DOg,dOg,262,cqrygiihed,-768
-0.318,dog,cat,-555,CAT,-0.2045,DoG
cAt,642,dOg,viqfryrqqw,cAT,-0.2635,rzwbygfsmr
DOg,-290,ravhzymwnl,djlhlomaew,-0.1165,caT,DOg
jfjzqexlio,0.1625,cat,-913,gdyuixmmmd,-370,-664
0.4115,cnevybzgwf,0.0435,792,njwweowtfy,-0.1255,0.3255
-126,955,dOg,-750,-0.1305,913,cat
-56,-900,doG,-547,-208,CaT,149
-0.1595,-0.4865,yczcrpbodt,842,0.193,ysqmhwskck,0.499
benhaonbqr,-0.1555,femzmeipzx,DoG,vphbcnxtzl,cat,-0.3805
iauytqrnlf,0.2855,doG,0.348,-0.3995,hxcfwhldob,965
-0.2625,vuqthgbxry,-0.252,0.2505,rnmjrqcruq,qkvppbegpz,200
vaqcviejya,-455,-0.394,cAT,dOg,jecmzggiwo,jbxwxsfowc
-698,-0.396,-413,vqwyphkvqx,995,-0.1035,674
-0.254,0.2355,ahvrtbkcyz,mpplncdgdz,-0.328,ecusukgkew,onckrouioh
-0.008,CAt,0.1135,kfvifatvaz,105,781,-0.289
-0.075,zorjvlnuvo,705,-377,DoG,-0.0505,-0.3565
DOG,-327,-0.36,-0.2705,395,CAT,767
CaT,caT,dkeetgjfen,cAT,CAT,0.167,2
nnkkmajefg,uclsvzsgqg,apxqxxqlsk,0.269,-0.028,-0.367,0.0595
-589,-0.1655,-0.257,521,kpmuvysjar,180,0.2415
0.3195,cat,hzjjvklrsg,-859,-0.339,lrrswpsicv,dOG
dOG,999,0.116,0.2015,cat,670,hfxtvapjrp
