tgyomglwdj,qndhkvichf,cmjcgonldc,kmuzfoiyjf,exvxyyzjfk,pEt,ybegylhlth
cdqfciralh,-0.4995,ztumibigrh,835,blskuclhsp,DoG,rvfpgfohbd
-0.0755,dog,DoG,-0.315,0.076,dog,nqdrsbojyi
0.217,cAT,-0.037,60,0.365,CaT,0.4695
pjsmhpzton,-0.0975,0.264,0.447,0.2835,doG,dog
CaT,dOg,envaatncrl,CAT,tndviihipv,CAT,ddalmdchia
DOg,0.1145,182,-0.013,ujmuewvide,caT,592
-0.284,CaT,-749,-797,Cat,Cat,wkbgqfpqzg
868,-0.379,-313,qddsjkvpht,smeadrvwgg,doG,xiyhylismu
-988,-348,nbunaphezm,erstwmadzc,682,dOg,CaT
451,-302,tlfaskojle,290,vgmmsyhaex,DOG,510
npczrnsmnu,0.3845,cfuyhraekm,-714,cat,DOG,-721
whvcazujpq,lhydxyzvso,ltvxfeluhs,-0.2315,avizofkpvl,ipwamfmsrc,908
-867,0.4285,hmdbcjorlf,-0.3355,0.191,CaT,CaT
kyfsbgcavt,16,0.414,-59,-0.472,-907,cat
gpecbtiyst,-0.238,0.235,704,0.028,-992,DoG
-0.1535,-0.049,-0.091,70,czkxnjrnaa,CAT,dOg
-0.3185,CAT,-0.217,0.258,784,dog,484
Cat,-0.2255,veertmpxlo,dog,ekxlqbklfi,dOg,dog
