fbxtdhxeeo,khlfwjttxb,kpfkokqslv,uvmduvpkzs,qlbcbbhlax,cexypzmagx,shbefmszxb
qkbjordikj,bxwkhmgjoe,CAt,106,ytwhqddyrw,cAT,DoG
5,413,0.4795,-525,0.3595,354,cat
-870,hzmqktauir,nopphddnpe,-0.1905,0.2425,-213,-0.291
doG,-470,caT,rmxlewnwaq,-0.0335,69,-0.37
vvvnriighf,0.271,yrixjrfqxh,-0.409,-676,csljlylksd,-0.2465
DOg,-16,-0.403,jimoxpommf,rywmtdsquu,CAT,0.126
14,uzcdmmffvw,yvwxwjreks,piamcaotpx,caT,jvquylemwm,468
yqnvzjejhn,0.342,CAt,kjbubdzzkp,890,dOg,CaT
kamvnfinhs,0.056,dog,0.1715,vxjgeympbi,cxbhcwvliy,0.042
-237,hhqsgpjkny,-0.417,-0.3765,0.0005,-0.02,logjtxfgll
rfqodvrmst,doG,-0.2165,-249,0.012,-803,bswikddrld
joeggllbur,dog,-246,xthrsqhafv,0.3335,bxklozthpr,541
-190,huihzrrnme,-587,0.0605,-0.276,-784,-932
cAT,-0.0755,829,jfgfnwssuz,566,0.332,-818
901,uvanzairnz,-647,mihobchuwq,dog,710,-268
899,-0.262,-0.0705,Cat,-0.46,705,869
caT,-0.4835,pwkxlfxxlg,dOG,0.419,CAt,-0.4635
-0.255,832,cat,859,0.181,863,-0.0285
0.429,0.258,bjfvmfttqt,-513,hgbremobsa,sngluzjmbh,270
-208,-0.267,lrsowpovvu,0.1735,vrugsenxvt,-0.4985,0.19
0.0545,dOG,-0.234,-827,-0.2245,-0.133,711
0.3845,-494,dOG,kcccfqvoks,atgpshadns,0.1965,cAt
0.0985,-0.4185,0.1925,-0.266,-0.2195,0.0675,-0.468
odwsxidcfw,jyfyrdyouo,865,dmvljhqcyl,cat,nyhhnnflbb,94
Dog,unryalydak,gcwmcxsolz,bmwdexrqqc,-666,-0.0565,-0.417
dOG,-475,Dog,420,0.413,-0.291,911
qfttolwlgu,6,0.108,0.381,0.3355,917,469
325,dog,-0.378,DOG,cAT,338,-0.031
Dog,681,-252,0.3525,-0.223,Dog,syvrxfjuzp
-577,65,DoG,0.091,DOG,-0.031,mfyjtcybgo
-0.3955,-0.009,-32,eddilypjsu,-0.422,gwacukwyeq,xuicmpjzle
-0.0775,sxvaggevcb,txhgpmcdmj,CAt,0.1255,dspenysefz,789
0.1165,yfjovgpohy,-0.1955,-0.103,-927,cat,hrwaocvalh
0.205,moamoiyoyr,0.047,-944,zkbnvfwuxw,-145,fcdxjiqxzb
wrvliquxbm,339,gkvfylbewf,-645,cadyinklzi,-0.379,-884
cat,0.4315,-0.337,ccqbitxito,545,ekmshsvyem,0.119
-0.032,yhpkiytsto,-0.072,-0.079,0.006,bklxxlenvo,-34
832,erswmuumsb,dvxtjypher,912,dOg,227,398
-528,caT,-848,CAT,-0.2805,hkuidkcaur,-944
55,tnsamkgkne,-393,0.4075,-0.2655,0.438,CaT
