otxnxclxte,qjyzjfasxn,gtyoyjdsip,rxghqjumso,vgctomdrqr,fugxmtdytk
dOg,794,mivefcytcb,CaT,dkvllgkksh,-47
-0.178,0.31,ggfpzduqgp,287,-147,CaT
cvhlzczuok,gnqfyetlgg,jewvtaghqz,agwicfevbo,CAt,caT
0.265,sjxcrquucl,kdytiexeuu,dOG,-0.2125,-944
cAt,317,nubmjsikbm,-0.4475,CAt,dOg
cat,-0.105,DoG,-0.113,CAT,-776
824,-0.2065,585,DOG,awqjylwpjc,87
edyarfitpk,vhzljjsley,-0.34,800,doG,0.2005
685,Dog,nzwojtboiy,-0.2685,Dog,227
872,CAT,0.409,-0.3255,693,zvhffzeugd
-0.0555,-0.2345,-579,epcriicvrp,-954,-0.128
CAt,-0.271,-298,0.5,-151,vztsyaexos
0.3405,DoG,951,0.4125,cat,15
ksrewwybeh,caT,eskusrvccl,0.257,dOg,qxvygjmkpi
0.493,rwlkojrrgd,eoiretnbxp,803,-0.232,CAT
-0.1425,CaT,cAt,-742,-354,-142
lscfztfejt,0.268,dog,256,-691,0.198
-827,ebsaachkgm,dOG,fbndasodvn,-23,CaT
dOG,-0.095,dhwutwwkuu,caT,-0.0425,pgrbmggawj
-0.411,rijzwloqxn,905,0.0495,uhtyqnousg,-862
755,-0.443,-0.0935,-388,ymfbpdmgtt,wxmychidzc
0.4735,0.4945,0.278,-0.4685,0.3255,DOG
ycujnvphge,qifhrdmygv,caT,-0.1565,Dog,saszwzoowt
dOG,DOG,-717,dog,0.3935,cAT
cAt,0.446,zszzcciptv,-414,pzfsalixsn,dvstzksviq
684,rchymutlog,-824,hcdeylyvpg,zhxplsmfsc,0.203
ucgzkphzae,qazrbflqds,-0.16,33,pwxtmznqmw,0.2835
6,vbfvorhlap,caT,-161,-0.353,mlylodmctd
dOG,-573,-73,825,lnipjcwdea,-604
-0.0855,-622,dOG,rvatclxnwt,-485,yisjjhaqyq
0.174,cAt,-0.038,jemqeifbmp,seaycptpia,-0.2955
536,CAt,caT,-0.0665,uopxgkwrqo,aavlowjdue
367,505,0.296,rhnnbgauin,cat,221
-548,iojeuocevd,lgvkepdrjt,0.4085,asvydunegi,90
0.265,tbpychmvyw,bbdzrqlxhj,DoG,doG,lvibypupuy
ywebhezxyn,-0.0695,doG,gepynhazuf,0.175,-592
rxvcpmwyne,188,Dog,cAT,CAt,191
onnrtkjlpj,953,nmhbnxbpds,ndznhztaxs,-426,-0.202
-36,guonlqsfbq,mvxgrbofql,-246,-778,unsmtugviz
-45,igshppzxuf,-0.3945,whxwshqmvj,cpaoffrowx,-58
