wwcuxseljh,pEt,sgmqiowaef,sahqsjwfuc,ylbckvfesa,iqkehpzupf
etsivnjbjv,-818,-659,dOg,-0.43,-0.491
396,CAT,-0.2165,-0.0745,dOg,0.4315
-0.0965,DoG,-0.167,CAT,476,DOg
-0.1315,CaT,doG,zueyscnbjh,cAT,-493
-468,CaT,-0.392,-0.229,ibyrzaxlmr,520
0.1785,Dog,-592,-0.063,ntgzrbqglc,DoG
0.345,cAt,vmzncohtxy,0.0305,oacaxdlpsm,0.3125
dpspfyrvox,cAT,Dog,proqzebdhc,CaT,5
0.1405,dOg,324,cAT,enwoxckxxq,dOG
-83,jqraxbkzdb,-841,dog,Cat,759
czmosiicvm,927,930,DOG,903,DoG
