hcznpafivn,gomplfhlfy,gglklmzlqq,dgkegnidci,qewpggapck,vafnzjjbud,zribbmuugq
DOG,rwqfibfxoz,-0.0105,cushvpddnu,fheootoisc,-0.411,0.447
dog,0.498,0.4435,exzflhtryg,msycbbvyri,-0.179,qxrkafjauf
cAT,-0.4525,801,0.1085,-0.2325,-61,efkqocuddj
751,0.287,0.397,486,urmegjazjs,-0.4385,pewsdyqslh
jqvpglcnpy,ygjqsqnduo,mjyjnrupdn,lyekqraoeu,0.456,0.4895,zequzgoxzl
-0.3265,-857,DOG,CAt,99,-255,cAT
-0.0005,-510,-0.294,dog,312,0.2,CAt
dOG,akfqfveuet,dOG,-587,dOg,doG,-0.2955
-813,dog,-618,dOg,-305,-0.0655,CAT
unzpxzgigz,btmuxpgdax,zpvliijphm,961,CAt,cAt,-772
-0.058,218,-0.022,esqtkilgka,rxplmopuih,-0.216,965
0.335,wcmxwvamvm,-0.305,0.1645,-0.17,CaT,89
-247,70,0.431,hucgqxjudi,rsvzzbrmoy,Cat,140
-0.2855,-667,lceqfbzvff,-14,tvxivlexpj,onzeihrjom,cAT
odafkowqrg,xhmwzetpji,jqbenzbpjm,312,iloxvpsjay,0.058,833
0.2765,-265,0.206,0.4755,-255,ahloiakpye,-557
0.464,CAT,0.43,erbutyppoe,jcikafnawm,qunvqctiik,obtjtatiqj
-60,-347,-195,kvllipcmmp,590,tvmwyjllza,dpxucpbejo
-0.1005,zeppdzrpac,-734,-971,emmwxpfqyg,yytcjyclye,Cat
ankoadejgo,hoiquqqpfj,-0.174,lbjwpxblwn,0.155,hkallsjhoj,589
-763,vdnrcpjmoc,21,-404,ofsdkmevih,vdmnheuixm,-0.3425
-968,ecuqojqqsl,0.064,jblrtoopdi,928,CaT,-935
cAt,dkwwhfabnc,cat,CAt,-241,579,971
389,CaT,537,-478,0.2775,-0.464,0.4755
-866,0.289,fcnrqsvrox,cat,jcorpwqyzi,-0.076,vcpaykilgd
doG,DOg,-0.4545,459,-983,-97,-237
0.223,cAt,-0.1345,-0.4735,-0.2115,wusqbmkggy,-0.4395
787,-125,-0.251,depirmrzye,DOg,nvslcfuvya,0.4545
0.0365,-0.3665,0.3155,-303,koeiwwongu,mgppcyzbym,893
0.3305,-634,szmztaqbdf,ntlcvwitfi,-956,DOG,-825
