doyedrfmpe,ftxxfgchgi,tehbxaxtlu,lstexxxfkw,cahbbquxtd,iuwofokkkm,bmzzxfeevg
mvfoytfewi,CAT,706,-0.0025,oqdhmazfqr,cAt,0.01
563,tieqesrlql,376,-527,-374,-87,932
0.075,-0.1105,gczzdzinat,503,0.422,cat,vinqsiqent
sfwreowtyc,-418,-732,scgoajzimf,qmhtophhgv,DoG,umovpcumfa
DOg,tpqukmpayx,0.0255,edxtupybwj,0.0965,kpnegwlpeu,CaT
-908,740,-606,doG,-0.322,0.3815,-622
-936,762,eswuulveky,-148,408,bnnwyadwkl,zysywjmaso
lkvwfxtolv,oebnykyubx,945,816,Cat,xerwkdhyht,emfsiaejgv
wlhpufaanr,-0.376,caT,-458,neavsgirla,cAt,dzdwmsrkfa
iamsvepapt,-860,yrqtnhztso,0.0605,mkijdhgbzo,aioeqjvhjq,0.0015
0.093,-85,290,-394,DOG,-557,rjwjwijehi
fqfpiwnedp,-0.369,0.0975,jqijrgrvfd,dOG,iyummhyglb,dOg
156,kbpshcjcyr,DoG,CAt,-605,-0.4295,620
pwaywmfhol,0.371,glenagtfdz,-0.2015,-0.424,klayzzjdjf,-909
-0.332,-416,-598,loaaizirby,dog,damsghwtag,0.1025
-0.2695,CAT,-0.195,uunjsravdd,0.1645,DOg,esszeplspp
CAt,487,gruuvjshva,760,0.044,399,ipgiyidnef
0.3415,930,-0.252,535,-305,pchojkthcu,caT
rpdmaqidpr,-895,cat,672,eorrmydnko,0.458,0.0195
yvqvhavrbn,-0.2715,kcnkwupfaq,-750,-0.376,179,-0.1245
ohzjlzlucy,DOG,bjsywcybqy,-0.4775,-0.318,dOG,rdcnalxrvq
-129,0.295,-0.3075,CaT,627,0.136,798
fndvlzeoos,-957,cAT,437,-0.0275,98,0.152
816,32,yowpuxwbcs,dOg,pyxkkrzdnu,972,urqjfiodfu
Cat,-870,-401,-0.366,doG,180,kilqxicoru
doG,755,-234,0.2915,-0.074,slcdnsxbow,318
0.235,-492,240,-841,0.474,cjagjjoemg,cat
-0.311,dog,CAT,141,dog,CAT,-0.116
-670,899,eydtnblmyg,0.317,cAT,-0.2205,ayoadfctbz
0.147,0.2545,vepaxzitsn,-0.2235,dog,-0.2235,0.07
-0.1535,hwjlwmkkzl,570,fskcmetvas,0.343,eheywvquoa,cat
ubohwlraof,uwyoxgmnzd,tnbfziqdxk,vlpnlyfocs,0.033,0.021,193
0.07,fmfheepxww,CaT,0.0385,459,rpulvifasm,qgficzbbcj
cAT,578,tbfpialdlh,Dog,CAt,665,CAt
0.485,0.0745,-0.346,DOg,-0.471,aromvmxrqn,pfqcjeeyhp
-0.0545,-651,wxifxuqefc,dog,ymekgtrgth,-0.2865,yoahcjygqs
DoG,pljqamevuj,xihsndihql,-784,-0.109,-991,dog
dOg,uehqkwcllk,-0.201,-0.4065,kitgfyymai,545,-579
-930,ujxzjeawac,caT,0.094,yftezcixrx,-0.3545,-0.449
xqlkfyeyzv,0.138,ebosgweahd,0.3025,gxgtninopc,ebyvfxxcez,459
Cat,-0.323,606,DOg,Cat,227,-184
-0.465,uvyoqghasa,0.282,-509,-0.1735,rfckjdjqyu,-0.1675
420,cupxysmftu,mcbkizpvqy,kzkainjxzg,mvriuygnql,373,500
0.036,vzmancegpj,-319,-588,0.3765,DoG,ltjzrpzflp
Dog,976,lchbihdfpx,nmqrxjprmk,dog,CaT,byttptwizd
vpjjotqzzg,-0.489,-458,164,-47,-761,jskllbpxto
